stock_code,stock_name,stock_index,total_events,overall_success_rate,overall_avg_mdd,overall_avg_return,dominant_combo,dominant_count,best_combo,best_combo_rate,best_combo_count,worst_combo,worst_combo_rate,combo_details
120110,코오롱인더,KOSPI200,39,35.9,-7.61,15.68,A1(외+연),20,B1(외+투신),75.0,4,A2(외+사),0.0,S(외+연+사):25%/8건 | A1(외+연):40%/20건 | A2(외+사):0%/2건 | B1(외+투신):75%/4건 | B2(연+사):20%/5건
036930,주성엔지니어링,KOSDAQ150,53,35.8,-6.65,20.17,S(외+연+사),17,S(외+연+사),58.8,17,A1(외+연),20.0,S(외+연+사):59%/17건 | A1(외+연):20%/15건 | A2(외+사):33%/6건 | B1(외+투신):27%/15건
028050,삼성E&A,KOSPI200,56,35.7,-7.3,2.86,A1(외+연),34,A1(외+연),44.1,34,B2(연+사),0.0,S(외+연+사):18%/11건 | A1(외+연):44%/34건 | A2(외+사):33%/3건 | B1(외+투신):40%/5건 | B2(연+사):0%/3건
253450,스튜디오드래곤,KOSDAQ150,14,35.7,-8.7,-2.42,B1(외+투신),9,A1(외+연),50.0,2,B1(외+투신),33.3,A1(외+연):50%/2건 | A2(외+사):50%/2건 | B1(외+투신):33%/9건 | B2(연+사):0%/1건
035900,JYP Ent.,KOSDAQ150,73,35.6,-9.13,-3.33,A1(외+연),41,A1(외+연),43.9,41,A2(외+사),0.0,S(외+연+사):20%/15건 | A1(외+연):44%/41건 | A2(외+사):0%/5건 | B1(외+투신):42%/12건
131970,두산테스나,KOSDAQ150,57,35.1,-9.48,19.04,A1(외+연),24,A1(외+연),41.7,24,A2(외+사),12.5,S(외+연+사):40%/10건 | A1(외+연):42%/24건 | A2(외+사):12%/8건 | B1(외+투신):36%/11건 | B2(연+사):25%/4건
051600,한전KPS,KOSPI200,43,34.9,-7.98,2.87,A1(외+연),22,A1(외+연),45.5,22,A2(외+사),0.0,S(외+연+사):40%/5건 | A1(외+연):45%/22건 | A2(외+사):0%/5건 | B1(외+투신):43%/7건 | B2(연+사):0%/4건
454910,두산로보틱스,KOSPI200,66,34.8,-11.67,1.65,A1(외+연),29,B1(외+투신),60.0,5,A2(외+사),11.1,S(외+연+사):19%/21건 | A1(외+연):48%/29건 | A2(외+사):11%/9건 | B1(외+투신):60%/5건 | B2(연+사):50%/2건
066570,LG전자,KOSPI200,92,34.8,-6.66,6.46,S(외+연+사),54,B2(연+사),50.0,2,S(외+연+사),31.5,S(외+연+사):31%/54건 | A1(외+연):41%/27건 | A2(외+사):33%/6건 | B1(외+투신):33%/3건 | B2(연+사):50%/2건
001040,CJ,KOSPI200,89,34.8,-9.37,2.14,S(외+연+사),39,A2(외+사),50.0,20,S(외+연+사),25.6,S(외+연+사):26%/39건 | A1(외+연):31%/16건 | A2(외+사):50%/20건 | B1(외+투신):40%/5건 | B2(연+사):44%/9건
011070,LG이노텍,KOSPI200,89,34.8,-8.56,7.84,S(외+연+사),55,A2(외+사),55.6,9,B2(연+사),16.7,S(외+연+사):27%/55건 | A1(외+연):53%/17건 | A2(외+사):56%/9건 | B1(외+투신):50%/2건 | B2(연+사):17%/6건
047050,포스코인터내셔널,KOSPI200,72,34.7,-7.83,8.66,A1(외+연),40,A1(외+연),45.0,40,A2(외+사),0.0,S(외+연+사):25%/20건 | A1(외+연):45%/40건 | A2(외+사):0%/4건 | B1(외+투신):40%/5건 | B2(연+사):0%/3건
267250,HD현대,KOSPI200,84,34.5,-8.48,8.42,S(외+연+사),33,A1(외+연),50.0,30,B2(연+사),22.2,S(외+연+사):24%/33건 | A1(외+연):50%/30건 | A2(외+사):25%/8건 | B1(외+투신):50%/4건 | B2(연+사):22%/9건
278470,에이피알,KOSPI200,102,34.3,-9.23,7.3,S(외+연+사),82,A1(외+연),60.0,5,S(외+연+사),30.5,S(외+연+사):30%/82건 | A1(외+연):60%/5건 | A2(외+사):50%/6건 | B1(외+투신):100%/1건 | B2(연+사):38%/8건
298040,효성중공업,KOSPI200,103,34.0,-8.56,11.58,S(외+연+사),80,B2(연+사),37.5,8,A2(외+사),20.0,S(외+연+사):35%/80건 | A1(외+연):25%/4건 | A2(외+사):20%/10건 | B1(외+투신):100%/1건 | B2(연+사):38%/8건
010060,OCI홀딩스,KOSPI200,68,33.8,-10.93,11.91,S(외+연+사),32,A2(외+사),50.0,6,S(외+연+사),25.0,S(외+연+사):25%/32건 | A1(외+연):44%/18건 | A2(외+사):50%/6건 | B1(외+투신):29%/7건 | B2(연+사):40%/5건
032820,우리기술,KOSDAQ150,18,33.3,-11.06,54.36,A2(외+사),9,B1(외+투신),60.0,5,A2(외+사),22.2,S(외+연+사):0%/1건 | A1(외+연):33%/3건 | A2(외+사):22%/9건 | B1(외+투신):60%/5건
108860,셀바스AI,KOSDAQ150,6,33.3,-5.89,36.09,B1(외+투신),6,B1(외+투신),33.3,6,B1(외+투신),33.3,B1(외+투신):33%/6건
000210,DL,KOSPI200,3,33.3,-14.28,6.33,B2(연+사),2,B2(연+사),0.0,2,B2(연+사),0.0,A1(외+연):100%/1건 | B2(연+사):0%/2건
112610,씨에스윈드,KOSPI200,36,33.3,-9.15,7.37,A1(외+연),19,A2(외+사),50.0,4,A1(외+연),26.3,S(외+연+사):43%/7건 | A1(외+연):26%/19건 | A2(외+사):50%/4건 | B1(외+투신):33%/3건 | B2(연+사):33%/3건
101360,에코앤드림,KOSDAQ150,3,33.3,-7.93,-0.83,A2(외+사),3,A2(외+사),33.3,3,A2(외+사),33.3,A2(외+사):33%/3건
085660,차바이오텍,KOSDAQ150,21,33.3,-9.73,4.19,A2(외+사),17,A1(외+연),66.7,3,A2(외+사),29.4,A1(외+연):67%/3건 | A2(외+사):29%/17건 | B1(외+투신):0%/1건
267260,HD현대일렉트릭,KOSPI200,100,33.0,-8.02,6.78,S(외+연+사),57,A2(외+사),54.5,11,B2(연+사),0.0,S(외+연+사):26%/57건 | A1(외+연):44%/25건 | A2(외+사):55%/11건 | B1(외+투신):25%/4건 | B2(연+사):0%/3건
034020,두산에너빌리티,KOSPI200,104,32.7,-8.54,5.99,S(외+연+사),92,S(외+연+사),34.8,92,A1(외+연),16.7,S(외+연+사):35%/92건 | A1(외+연):17%/6건 | A2(외+사):20%/5건 | B2(연+사):0%/1건
014680,한솔케미칼,KOSPI200,55,32.7,-6.72,7.51,A1(외+연),21,A2(외+사),55.6,9,S(외+연+사),22.2,S(외+연+사):22%/9건 | A1(외+연):29%/21건 | A2(외+사):56%/9건 | B1(외+투신):33%/9건 | B2(연+사):29%/7건
373220,LG에너지솔루션,KOSPI200,102,32.4,-9.73,-0.66,S(외+연+사),85,A1(외+연),38.5,13,B2(연+사),0.0,S(외+연+사):33%/85건 | A1(외+연):38%/13건 | A2(외+사):0%/1건 | B1(외+투신):0%/1건 | B2(연+사):0%/2건
006400,삼성SDI,KOSPI200,102,32.4,-8.15,11.62,S(외+연+사),72,S(외+연+사),34.7,72,A2(외+사),0.0,S(외+연+사):35%/72건 | A1(외+연):32%/22건 | A2(외+사):0%/2건 | B1(외+투신):0%/1건 | B2(연+사):20%/5건
375500,DL이앤씨,KOSPI200,31,32.3,-9.56,4.27,A1(외+연),19,A1(외+연),42.1,19,A2(외+사),0.0,S(외+연+사):33%/3건 | A1(외+연):42%/19건 | A2(외+사):0%/2건 | B1(외+투신):20%/5건 | B2(연+사):0%/2건
039030,이오테크닉스,KOSDAQ150,87,32.2,-7.91,11.47,A1(외+연),30,B1(외+투신),57.1,7,S(외+연+사),24.1,S(외+연+사):24%/29건 | A1(외+연):30%/30건 | A2(외+사):35%/17건 | B1(외+투신):57%/7건 | B2(연+사):50%/4건
131290,티에스이,KOSDAQ150,28,32.1,-8.38,18.43,B1(외+투신),10,A1(외+연),66.7,6,B2(연+사),0.0,S(외+연+사):33%/3건 | A1(외+연):67%/6건 | A2(외+사):17%/6건 | B1(외+투신):30%/10건 | B2(연+사):0%/3건
307950,현대오토에버,KOSPI200,84,32.1,-10.83,20.39,S(외+연+사),46,A1(외+연),45.5,22,A2(외+사),20.0,S(외+연+사):28%/46건 | A1(외+연):45%/22건 | A2(외+사):20%/10건 | B1(외+투신):40%/5건 | B2(연+사):0%/1건
326030,SK바이오팜,KOSPI200,66,31.8,-9.25,-1.07,A1(외+연),41,A2(외+사),75.0,4,B2(연+사),0.0,S(외+연+사):21%/14건 | A1(외+연):34%/41건 | A2(외+사):75%/4건 | B1(외+투신):50%/2건 | B2(연+사):0%/5건
012450,한화에어로스페이스,KOSPI200,104,31.7,-9.87,7.25,S(외+연+사),89,A2(외+사),50.0,6,A1(외+연),16.7,S(외+연+사):31%/89건 | A1(외+연):17%/6건 | A2(외+사):50%/6건 | B1(외+투신):50%/2건 | B2(연+사):0%/1건
006800,미래에셋증권,KOSPI200,98,31.6,-8.34,28.76,S(외+연+사),58,B2(연+사),40.0,5,B1(외+투신),0.0,S(외+연+사):34%/58건 | A1(외+연):29%/21건 | A2(외+사):27%/11건 | B1(외+투신):0%/3건 | B2(연+사):40%/5건
240810,원익IPS,KOSDAQ150,90,31.1,-7.63,18.75,S(외+연+사),44,B2(연+사),60.0,5,B1(외+투신),14.3,S(외+연+사):32%/44건 | A1(외+연):25%/24건 | A2(외+사):40%/10건 | B1(외+투신):14%/7건 | B2(연+사):60%/5건
