종목코드,종목명,시가총액(억원),섹터,분류자
234340,헥토파이낸셜,"5,630",금융,기존
187660,현대ADM,"9,707",자동차부품,지니
720,현대건설,"177,724",건설,지니
453340,현대그린푸드,"5,181",소비재,지니
86280,현대글로비스,"164,250",자동차,지니
64350,현대로템,"210,863",방산/조선,지니
12330,현대모비스,"363,838",자동차,지니
319400,현대무벡스,"33,190",로봇,기존
48410,현대바이오,"15,126",바이오,지니
69960,현대백화점,"19,483",소비재,지니
39010,현대에이치티,740,기타,자동(시총↓)
17800,현대엘리베이터,"34,010",건설,기존
307950,현대오토에버,"115,181",자동차,지니
11210,현대위아,"22,082",자동차부품,기존
90850,현대이지웰,"1,541",기타,자동(시총↓)
4020,현대제철,"46,573",금속,기존
5440,현대지에프홀딩스,"24,321",소비재,기존
5380,현대차,"1,036,074",자동차,지니
5387,현대차2우B,"92,130",자동차,기존
5385,현대차우,"61,153",자동차,기존
1450,현대해상,"26,105",금융,지니
57050,현대홈쇼핑,"9,972",소비재,지니
8770,호텔신라,"16,779",레저/관광,지니
298040,효성중공업,"234,699",전력/에너지,지니
298020,효성티앤씨,"14,433",화학,기존
93370,후성,"7,326",화학,지니
90710,휴림로봇,"14,287",로봇,지니
65510,휴비츠,"1,006",기타,자동(시총↓)
84110,휴온스글로벌,"9,419",바이오,지니
145020,휴젤,"29,776",바이오,기존
24060,흥구석유,"3,532",기타,자동(시총↓)
540,흥국화재,"2,965",기타,자동(시총↓)
3280,흥아해운,"7,297",운송,지니
