종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'328130,루닛,-2114,-10335,48886,-34050,[v],-550
'196170,알테오젠,-317,-10303,324820,-355500,[v],-25500
'119610,인터로조,-1703,-2824,16584,-18890,[v],-620
'078600,대주전자재료,-221,-1765,79867,-128900,[v],-1300
'141080,리가켐바이오,-140,-1370,97578,-199800,[v],-13700
'247540,에코프로비엠,-116,-1173,100964,+204000,[^],+1500
'083650,비에이치아이,-212,-667,31428,+95600,[^],+800
'317330,덕산테코피아,-318,-651,20448,+18400,[^],+2520
'389260,대명에너지,-350,-601,17176,+24650,[^],+4650
'119850,지엔씨에너지,-195,-527,26985,-31850,[v],-1350
'114840,아이패밀리에스씨,-257,-506,19692,-11020,[v],-510
'194700,노바렉스,-350,-492,14050,-13670,[v],-330
'000250,삼천당제약,-30,-442,145667,+1159000,[^],+48000
'297090,씨에스베어링,-550,-374,6803,+8180,[^],+350
'240810,원익IPS,-127,-294,23134,-115500,[v],-5500
'053030,바이넥스,-185,-287,15529,-11360,[v],-500
'120240,대정화금,-176,-260,14752,-13880,[v],-10
'074600,원익QnC,-140,-256,18272,-30700,[v],-1150
'241710,코스메카코리아,-55,-241,43843,-81500,[v],-3100
'140670,알에스오토메이션,-150,-235,15676,-16250,[v],-760
'030520,한글과컴퓨터,-103,-233,22505,-19770,[v],-680
'475960,토모큐브,-77,-227,29601,-55200,[v],-2400
'087010,펩트론,-12,-226,183637,-296500,[v],-6500
'078340,컴투스,-56,-214,38098,-32900,[v],-100
'039840,디오,-100,-209,20849,-16580,[v],-110
'083310,엘오티베큠,-200,-196,9781,-12570,[v],-610
'083500,에프엔에스테크,-200,-195,9746,-16000,[v],-1040
'091700,파트론,-274,-185,6736,-7940,[v],-460
'131970,두산테스나,-66,-170,25867,-103000,[v],-5300
'126700,하이비젼시스템,-95,-158,16664,-16000,[v],-1160
'347850,디앤디파마텍,-16,-140,88732,-71700,[v],-5900
'243840,신흥에스이씨,-330,-139,4205,-7450,[v],-30
'253450,스튜디오드래곤,-29,-131,45758,-37000,[v],-700
'036200,유니셈,-195,-123,6320,-9040,[v],-410
'123410,코리아에프티,-250,-115,4613,-7000,[v],-170
'069080,웹젠,-71,-99,13950,-12180,[v],-260
'086520,에코프로,-20,-90,45444,-147600,[v],-1400
'241770,메카로,-75,-90,11936,-36700,[v],-300
'078020,LS증권,-214,-87,4089,-6820,[v],-230
'093520,매커스,-64,-73,11566,+24750,[^],+1450
'322510,제이엘케이,-88,-62,7036,+7270,[^],+20
'226400,오스테오닉,-86,-60,6901,-6430,[v],-470
'137400,피엔티,-15,-58,38170,-49800,[v],-900
'206640,바디텍메드,-34,-55,16060,-11330,[v],-470
'053800,안랩,-8,-51,62521,-60100,[v],-1800
'450950,아스테라시스,-51,-51,9953,-11080,[v],-160
'067310,하나마이크론,-42,-49,11791,-29300,[v],-1800
'267980,매일유업,-13,-48,36976,-35300,[v],-1400
'214450,파마리서치,-1,-48,417535,-304500,[v],-9000
'051500,CJ프레시웨이,-18,-45,24840,-30650,[v],-250
'170920,엘티씨,-40,-44,11103,-31900,[v],-2050
'123860,아나패스,-20,-38,19388,-17210,[v],-210
'054210,이랜텍,-60,-30,5060,-10240,[v],-530
'099430,바이오플러스,-40,-30,7506,-5040,[v],-130
'039200,오스코텍,-9,-22,26111,-51900,[v],-2400
'060370,LS마린솔루션,-7,-22,29358,+28850,[^],+450
'237690,에스티팜,-2,-11,73269,-150000,[v],-9300
'025770,한국정보통신,-14,-11,7668,+7750,[^],+60
'014620,성광벤드,-4,-10,25338,+34350,[^],+1200
'476060,온코닉테라퓨틱스,-2,-4,22200,+23150,[^],+100
'083450,GST,-1,-2,18917,-25750,[v],-1300
'101160,월덱스,-1,-2,19211,-29850,[v],-150
'086390,유니테스트,-1,-1,10659,-16340,[v],-850
'475400,씨메스,-1,-1,28520,-29900,[v],-1500
'033500,동성화인텍,-0,-1,25100,-22100,[v],-1200
'036620,감성코퍼레이션,-3,-1,3957,-5350,[v],-430
'108490,로보티즈,-0,-1,46632,-242500,[v],-12500
'083930,아바코,-0,-1,13707,-12890,[v],-470
'305090,마이크로디지탈,-1,-1,9310,-6150,[v],-300
'464080,에스오에스랩,-0,-1,11543,-14960,[v],-640
'322310,오로스테크놀로지,-0,-0,23056,-29400,[v],-1850
'092730,네오팜,-0,-0,13786,-16940,[v],-680
'168360,펨트론,-0,-0,9921,-19400,[v],-900
'114810,한솔아이원스,-0,-0,8081,-13560,[v],-440
'143160,아이디스,-0,-0,16111,-17790,[v],-140
'061970,LB세미콘,-1,-0,3487,-4175,[v],-320
'089980,상아프론테크,-0,-0,17143,-23750,[v],-1550
'160980,싸이맥스,-0,-0,12167,-24800,[v],-800
'425420,티에프이,-0,-0,18091,-63900,[v],-5100
'217190,제너셈,-0,-0,7423,-5500,[v],-340
'092070,디엔에프,-0,-0,11235,-19120,[v],-1280
'122640,예스티,-0,-0,15917,-19990,[v],-810
'064290,인텍플러스,-0,-0,9647,-17280,[v],-1790
'105740,디케이락,-0,-0,7500,-9370,[v],-280
