종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'277810,레인보우로보틱스,-331,-21624,653646,-668000,▼,-50000
'298380,에이비엘바이오,-635,-11234,177007,+190200,▲,+200
'178320,서진시스템,-2653,-8890,33515,+48000,▲,+2600
'086520,에코프로,-435,-6814,156505,-150900,▼,-200
'058610,에스피지,-456,-6241,137001,-120300,▼,-2900
'347850,디앤디파마텍,-719,-5602,77943,78900,-,0
'226950,올릭스,-401,-4855,121068,+185700,▲,+3900
'141080,리가켐바이오,-262,-4432,169482,+213000,▲,+13100
'140860,파크시스템스,-142,-3435,241719,-272500,▼,-5000
'087010,펩트론,-120,-2983,248389,+343500,▲,+26000
'089890,코세스,-1250,-2866,22922,-25550,▼,-1250
'078160,메디포스트,-1106,-2573,23270,-22200,▼,-1000
'456160,지투지바이오,-307,-2399,78121,+88700,▲,+1800
'358570,지아이이노베이션,-1751,-2287,13067,-14590,▼,-30
'000250,삼천당제약,-44,-2189,493203,+900000,▲,+105000
'281740,레이크머티리얼즈,-890,-2099,23582,+19980,▲,+160
'234340,헥토파이낸셜,-721,-1725,23907,+40000,▲,+1450
'033100,제룡전기,-272,-1581,58209,+49950,▲,+1350
'247540,에코프로비엠,-74,-1449,197091,+190100,▲,+400
'357580,아모센스,-1045,-1403,13424,-21400,▼,-400
'476830,알지노믹스,-109,-1400,128049,+215000,▲,+1000
'257720,실리콘투,-323,-1324,41013,+38600,▲,+2100
'451700,엔에이치스팩29호,-5021,-1274,2537,+2235,▲,+10
'183300,코미코,-117,-1265,108164,+119900,▲,+1000
'042520,한스바이오메드,-305,-1235,40538,-52900,▼,-2800
'348210,넥스틴,-144,-1140,79064,-79800,▼,-200
'058470,리노공업,-117,-1103,94153,-112000,▼,-5100
'397030,에이프릴바이오,-185,-1088,58834,+64800,▲,+2300
'126340,비나텍,-99,-1053,106299,+143700,▲,+4300
'494120,큐리오시스,-182,-951,52273,-66100,▼,-2100
'389500,에스비비테크,-143,-867,60448,-48800,▼,-900
'290650,엘앤씨바이오,-100,-865,86415,+75700,▲,+300
'085660,차바이오텍,-416,-864,20761,+19020,▲,+270
'304360,에스바이오메딕스,-272,-821,30249,32950,-,0
'474170,루미르,-397,-778,19621,-14790,▼,-190
'125490,한라캐스트,-401,-767,19127,+17140,▲,+880
'486990,노타,-209,-765,36592,-43000,▼,-1850
'166090,하나머티리얼즈,-126,-764,60758,+62000,▲,+2900
'124500,아이티센글로벌,-168,-753,44727,-61600,▼,-3600
'036890,진성티이씨,-497,-712,14313,+16910,▲,+790
'028300,HLB,-136,-684,50372,+51300,▲,+900
'468530,프로티나,-90,-646,71433,-80500,▼,-1300
'064260,다날,-737,-622,8437,+7310,▲,+200
'036810,에프에스티,-152,-595,39097,-42400,▼,-600
'222080,씨아이에스,-486,-576,11854,-12510,▼,-60
'372800,아이티아이즈,-1125,-569,5061,+4400,▲,+75
'194480,데브시스터즈,-143,-531,37181,-40250,▼,-250
'100790,미래에셋벤처투자,-208,-496,23836,-22300,▼,-550
'482630,삼양엔씨켐,-126,-493,39016,+18440,▲,+490
'121850,코이즈,-1054,-491,4661,2350,-,0
'056080,유진로봇,-134,-446,33195,+28900,▲,+300
'189300,인텔리안테크,-48,-421,87786,-121800,▼,-1600
'376270,HEM파마,-48,-415,86717,-69800,▼,-200
'214430,아이쓰리시스템,-38,-413,107499,+96600,▲,+200
'420770,기가비스,-67,-396,59170,+78700,▲,+300
'031980,피에스케이홀딩스,-56,-380,68210,+111000,▲,+4200
'327260,RF머트리얼즈,-102,-379,37052,+73900,▲,+13400
'478340,나라스페이스테크놀로지,-71,-374,53028,+42900,▲,+300
'318060,그래피,-58,-358,62297,+50900,▲,+4700
'376900,로킷헬스케어,-70,-355,50938,+130700,▲,+2000
'466100,클로봇,-55,-342,62790,+57000,▲,+800
'172670,에이엘티,-215,-330,15335,-12030,▼,-70
'437730,삼현,-59,-326,55247,-55400,▼,-600
'307180,아이엘,-846,-315,3719,-5580,▼,-230
'060250,NHN KCP,-149,-310,20770,+20300,▲,+880
'452430,사피엔반도체,-85,-308,36079,-34900,▼,-1150
'068760,셀트리온제약,-43,-299,68682,+60800,▲,+600
'336570,원텍,-369,-295,7986,+7070,▲,+150
'475830,오름테라퓨틱,-28,-294,106769,+125300,▲,+400
'300080,플리토,-195,-283,14527,-12270,▼,-260
'114840,아이패밀리에스씨,-176,-256,14546,+11700,▲,+510
'006730,서부T&D,-160,-251,15664,14840,-,0
'356860,티엘비,-44,-244,55181,-77400,▼,-2400
'357780,솔브레인,-6,-236,402747,+430000,▲,+8000
'214150,클래시스,-35,-233,66127,+53700,▲,+1200
'045100,한양이엔지,-83,-233,27893,+31000,▲,+1950
'041920,메디아나,-109,-226,20846,+19850,▲,+700
'310210,보로노이,-11,-219,202450,+324500,▲,+4500
'041510,에스엠,-21,-215,102891,+98000,▲,+900
