종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'329180,HD현대중공업,+228,+11346,497124,-481000,[v],-17500
'000660,SK하이닉스,+351,+9082,258519,-877000,[v],-45000
'009150,삼성전기,+490,+7891,160949,-429000,[v],-5000
'010140,삼성중공업,+3019,+6535,21647,-24550,[v],-1450
'007660,이수페타시스,+838,+5478,65340,-105200,[v],-5300
'259960,크래프톤,+137,+4649,339105,-251500,[v],-3000
'009540,HD한국조선해양,+124,+4512,364066,-350000,[v],-17000
'042660,한화오션,+363,+4045,111527,-119100,[v],-4100
'077970,STX엔진,+1092,+3938,36054,-31900,[v],-1600
'012510,더존비즈온,+474,+3612,76125,-119100,[v],-200
'071970,HD현대마린엔진,+429,+3544,82668,-71600,[v],-5100
'034730,SK,+157,+2970,189059,-324500,[v],-9500
'011070,LG이노텍,+154,+2577,167107,-309500,[v],-11000
'004370,농심,+62,+2497,404939,-367000,[v],-8500
'086280,현대글로비스,+139,+2396,172002,-216000,[v],-15500
'028260,삼성물산,+121,+1989,163957,-260500,[v],-8500
'088980,맥쿼리인프라,+1596,+1857,11632,-11340,[v],-70
'090460,비에이치,+920,+1690,18370,-21200,[v],-500
'006400,삼성SDI,+75,+1649,221091,+416000,[^],+10500
'000150,두산,+30,+1649,558732,-1116000,[v],-87000
'402340,SK스퀘어,+117,+1648,140339,-513000,[v],-31000
'075580,세진중공업,+1101,+1469,13332,-16480,[v],-620
'003230,삼양식품,+9,+1372,1500938,-1169000,[v],-14000
'352820,하이브,+46,+1347,295789,-303000,[v],-4000
'353200,대덕전자,+564,+1346,23850,-82700,[v],-2700
'001040,CJ,+82,+1329,162052,-199000,[v],-7500
'034020,두산에너빌리티,+186,+1213,65297,-94300,[v],-3800
'017960,한국카본,+375,+1182,31529,-39400,[v],-1100
'161390,한국타이어앤테크놀로지,+278,+1136,40849,-55100,[v],-2900
'012450,한화에어로스페이스,+12,+1126,907145,-1298000,[v],-37000
'015760,한국전력,+279,+1050,37713,-42050,[v],-1850
'055550,신한지주,+153,+1005,65812,-90900,[v],-2600
'010130,고려아연,+12,+989,807727,-1463000,[v],-20000
'361610,SK아이이테크놀로지,+330,+983,29791,+22200,[^],+550
'006650,대한유화,+77,+976,126169,-127200,[v],-6200
'069960,현대백화점,+123,+933,75676,-79700,[v],-4800
'033780,KT&G,+66,+921,139164,-157200,[v],-800
'034230,파라다이스,+416,+879,21128,-16650,[v],-1180
'032350,롯데관광개발,+471,+782,16605,-18340,[v],-1510
'128940,한미약품,+25,+764,301505,-522000,[v],-27000
'103590,일진전기,+193,+719,37299,-71400,[v],-3700
'003550,LG,+96,+692,71939,-84800,[v],-4200
'307950,현대오토에버,+40,+673,169122,-376500,[v],-17500
'034220,LG디스플레이,+538,+636,11833,-11140,[v],-360
'499790,GS피앤엘,+119,+585,49225,-43750,[v],-4250
'395400,SK리츠,+1164,+578,4962,-6280,[v],-210
'365550,ESR켄달스퀘어리츠,+1293,+574,4440,+4355,[^],+20
'010120,LS ELECTRIC,+20,+572,286857,-777000,[v],-24000
'000720,현대건설,+85,+529,62492,-147600,[v],-2200
'001440,대한전선,+325,+522,16072,-27800,[v],-450
'097950,CJ제일제당,+22,+521,231763,+218000,[^],+3500
'002380,KCC,+13,+508,384117,-503000,[v],-22000
'326030,SK바이오팜,+48,+482,100761,-97500,[v],-2800
'078520,에이블씨엔씨,+364,+474,13008,-12540,[v],-800
'136490,선진,+390,+446,11450,-10050,[v],-340
'383220,F&F,+63,+427,68296,-62900,[v],-2100
'007340,DN오토모티브,+130,+345,26579,-37850,[v],-2900
'009970,영원무역홀딩스,+26,+324,122768,+224500,[^],+2000
'036570,엔씨소프트,+15,+299,203358,-222000,[v],-8000
'071050,한국금융지주,+23,+297,130602,-210000,[v],-10000
'012330,현대모비스,+9,+275,303108,-397500,[v],-11000
'000240,한국앤컴퍼니,+107,+247,23108,-24900,[v],-2000
'017670,SK텔레콤,+44,+244,55569,-78100,[v],-1800
'001120,LX인터내셔널,+79,+234,29763,+47000,[^],+600
'194370,제이에스코퍼레이션,+227,+231,10165,-11480,[v],-220
'012630,HDC,+94,+200,21224,+28900,[^],+350
'003690,코리안리,+185,+197,10643,+13390,[^],+60
'005380,현대차,+9,+192,221601,-471000,[v],-24000
'002020,코오롱,+43,+174,40628,-66500,[v],-3300
