종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'033780,KT&G,+1755,+24508,139660,-156200,▼,-800
'005380,현대차,+630,+15337,243573,522000,-,0
'068270,셀트리온,+661,+11563,175066,-201000,▼,-1000
'114090,GKL,+2344,+3948,16846,+12280,▲,+270
'207940,삼성바이오로직스,+30,+3334,1114996,+1602000,▲,+17000
'012330,현대모비스,+74,+2290,307891,-403500,▼,-9500
'011070,LG이노텍,+98,+2053,209018,+295500,▲,+9500
'051910,LG화학,+55,+1900,344153,+308000,▲,+4500
'003550,LG,+223,+1647,73976,+94500,▲,+4000
'035720,카카오,+274,+1644,59905,+50300,▲,+300
'402340,SK스퀘어,+62,+1602,260280,-604000,▼,-7000
'010120,LS ELECTRIC,+49,+1467,300942,+889000,▲,+16000
'005490,POSCO홀딩스,+48,+1443,299806,+343000,▲,+5000
'035420,NAVER,+50,+1223,245951,+221000,▲,+500
'066970,엘앤에프,+96,+1149,119080,+110700,▲,+2400
'005830,DB손해보험,+83,+1090,131201,+185300,▲,+800
'088980,맥쿼리인프라,+806,+917,11380,+11510,▲,+70
'096770,SK이노베이션,+76,+872,114687,+113600,▲,+3300
'001080,만호제강,+150,+769,51300,-4860,▼,-55
'011170,롯데케미칼,+100,+734,73275,+85100,▲,+2700
'450080,에코프로머티,+105,+647,61886,+62500,▲,+1800
'00680K,미래에셋증권2우B,+612,+587,9581,+21600,▲,+1400
'090460,비에이치,+340,+585,17196,+21950,▲,+2070
'000100,유한양행,+50,+583,117003,+99700,▲,+1000
'081660,미스토홀딩스,+151,+579,38224,-44400,▼,-50
'071050,한국금융지주,+33,+514,154215,+233500,▲,+4500
'483650,달바글로벌,+33,+473,141904,+159000,▲,+4100
'005385,현대차우,+27,+473,178425,-265000,▼,-4000
'013890,지누스,+342,+470,13732,+11510,▲,+10
'093050,LF,+256,+461,18049,+22350,▲,+750
'021240,코웨이,+45,+430,95034,+74400,▲,+1400
'011790,SKC,+34,+411,120612,+99300,▲,+200
'298040,효성중공업,+3,+397,1527600,+2719000,▲,+26000
'035150,백산,+283,+390,13757,-13410,▼,-40
'022100,포스코DX,+138,+363,26340,+32200,▲,+450
'003960,사조대림,+93,+356,38068,+33950,▲,+850
'090430,아모레퍼시픽,+30,+355,117318,+140000,▲,+5300
'214330,금호에이치티,+5499,+347,631,+459,▲,+33
'069960,현대백화점,+43,+344,80228,+90500,▲,+4500
'443060,HD현대마린솔루션,+15,+338,229091,+181500,▲,+3300
'128940,한미약품,+10,+336,353921,+555000,▲,+36000
'047050,포스코인터내셔널,+61,+328,53736,+77700,▲,+5900
'006260,LS,+18,+328,185217,+305000,▲,+14500
'103590,일진전기,+76,+324,42426,+82300,▲,+200
'071970,HD현대마린엔진,+36,+323,88848,+79600,▲,+2000
'097520,엠씨넥스,+97,+310,31994,+23950,▲,+550
'272210,한화시스템,+59,+303,50984,-135800,▼,-5200
'003490,대한항공,+137,+301,21983,+26150,▲,+1600
'028260,삼성물산,+13,+286,218435,+299000,▲,+8000
'267270,HD건설기계,+30,+278,93867,+133600,▲,+1900
'004990,롯데지주,+92,+262,28581,+32100,▲,+1400
'066570,LG전자,+30,+249,82855,+117300,▲,+1100
'039490,키움증권,+9,+240,256187,+464000,▲,+15000
'002390,한독,+201,+235,11679,+10790,▲,+90
'017800,현대엘리베이터,+29,+229,79117,+88400,▲,+1000
'093370,후성,+304,+220,7231,+7060,▲,+60
'036570,엔씨소프트,+11,+218,204444,+226000,▲,+5000
