종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'055550,신한지주,-2203,-22271,101109,-96100,▼,-400
'001510,SK증권,-109821,-20694,1884,+2585,▲,+405
'000660,SK하이닉스,-185,-17193,931638,-1006000,▼,-7000
'086790,하나금융지주,-966,-12522,129689,-112400,▼,-800
'003530,한화투자증권,-11936,-11693,9796,+7920,▲,+540
'005380,현대차,-231,-11683,504948,522000,-,0
'373220,LG에너지솔루션,-207,-8337,402210,+373000,▲,+2000
'012450,한화에어로스페이스,-62,-7725,1249427,-1315000,▼,-60000
'009830,한화솔루션,-1095,-5757,52572,+52200,▲,+2450
'012510,더존비즈온,-622,-5708,91817,+119300,▲,+200
'088350,한화생명,-8562,-5010,5852,+5230,▲,+300
'071050,한국금융지주,-162,-4657,288010,+233500,▲,+4500
'034730,SK,-121,-4471,370623,+358000,▲,+12000
'103140,풍산,-378,-4349,115020,-99300,▼,-600
'064350,현대로템,-192,-4174,217421,-180700,▼,-5600
'084010,대한제강,-3132,-4025,12850,+11880,▲,+400
'036460,한국가스공사,-872,-3914,44897,+37500,▲,+1250
'012030,DB,-14383,-2945,2048,+1835,▲,+96
'001500,현대차증권,-1952,-2752,14100,+11540,▲,+320
'272210,한화시스템,-213,-2515,118234,-135800,▼,-5200
'008770,호텔신라,-513,-2481,48384,+44500,▲,+1200
'010140,삼성중공업,-745,-2180,29271,+28650,▲,+150
'097950,CJ제일제당,-97,-2161,221975,+211000,▲,+11000
'001720,신영증권,-74,-2002,270297,+208000,▲,+1000
'192820,코스맥스,-87,-1683,194385,+197800,▲,+18600
'005940,NH투자증권,-380,-1642,43190,+35300,▲,+1900
'267250,HD현대,-51,-1465,287519,+263500,▲,+2500
'003160,디아이,-369,-1343,36431,-38300,▼,-150
'006800,미래에셋증권,-190,-1265,66644,+67900,▲,+1200
'329180,HD현대중공업,-21,-1181,575999,-561000,▼,-6000
'032830,삼성생명,-54,-1180,217361,-226500,▼,-4000
'034020,두산에너빌리티,-111,-1175,105587,+109600,▲,+3300
'112610,씨에스윈드,-237,-1173,49446,+65900,▲,+1000
'003000,부광약품,-1946,-1068,5487,-5990,▼,-110
'009540,HD한국조선해양,-24,-1048,442176,-404500,▼,-9000
'006400,삼성SDI,-25,-1025,414584,-399500,▼,-3000
'129260,인터지스,-3800,-928,2442,+2510,▲,+70
'483650,달바글로벌,-52,-924,176541,+159000,▲,+4100
'071970,HD현대마린엔진,-97,-870,90045,+79600,▲,+2000
'195870,해성디에스,-146,-852,58205,+58500,▲,+2500
'011500,한농화성,-334,-830,24840,+20800,▲,+50
'014830,유니드,-103,-828,80047,+85400,▲,+1800
'088980,맥쿼리인프라,-689,-813,11797,+11510,▲,+70
'004700,조광피혁,-100,-792,79150,+70000,▲,+100
'475150,SK이터닉스,-245,-755,30759,+58600,▲,+4900
'000270,기아,-43,-740,170416,-170200,▼,-300
'051900,LG생활건강,-23,-641,273944,+253500,▲,+10500
'001340,PKC,-914,-640,7003,+6590,▲,+40
'012330,현대모비스,-14,-639,441135,-403500,▼,-9500
'138930,BNK금융지주,-282,-639,22653,+18800,▲,+320
'005385,현대차우,-22,-616,275757,-265000,▼,-4000
'052690,한전기술,-37,-614,164326,+175400,▲,+7400
'105840,우진,-205,-599,29190,+31200,▲,+5050
'003545,대신증권우,-193,-580,30012,+27350,▲,+250
'022100,포스코DX,-150,-580,38686,+32200,▲,+450
'023530,롯데쇼핑,-52,-580,111729,+113100,▲,+5600
'047040,대우건설,-657,-551,8387,+19110,▲,+2940
'082740,한화엔진,-96,-528,55213,+49000,▲,+450
'004690,삼천리,-32,-507,157122,+153000,▲,+7000
'000400,롯데손해보험,-2189,-498,2277,+2120,▲,+70
'010120,LS ELECTRIC,-7,-494,685838,+889000,▲,+16000
'028050,삼성E&A,-127,-454,35701,+39800,▲,+7200
'004800,효성,-26,-432,166987,+150000,▲,+5000
'015360,INVENI,-49,-424,86050,+81400,▲,+2400
'036570,엔씨소프트,-18,-421,231347,+226000,▲,+5000
'002030,아세아,-14,-400,292022,-274500,▼,-2000
'011790,SKC,-36,-397,111267,+99300,▲,+200
'348950,제이알글로벌리츠,-1922,-391,2032,+1565,▲,+60
'175330,JB금융지주,-99,-373,37588,30200,-,0
'086280,현대글로비스,-14,-371,261492,-230000,▼,-500
'051910,LG화학,-11,-370,336883,+308000,▲,+4500
'005830,DB손해보험,-18,-368,204865,+185300,▲,+800
'120110,코오롱인더,-57,-356,62343,-69900,▼,-600
'278470,에이피알,-12,-354,287229,-361500,▼,-7500
'003490,대한항공,-134,-335,25031,+26150,▲,+1600
'128940,한미약품,-5,-332,610057,+555000,▲,+36000
'068270,셀트리온,-13,-326,245068,-201000,▼,-1000
'323410,카카오뱅크,-113,-325,28767,+25000,▲,+350
'005389,현대차3우B,-12,-310,265185,-251000,▼,-4000
