종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'000270,기아,+904,+12094,133810,-170200,▼,-300
'005935,삼성전자우,+710,+7412,104376,-139200,▼,-5000
'000720,현대건설,+822,+7305,88892,-167200,▼,-2300
'079550,LIG넥스원,+112,+6377,570979,-664000,▼,-38000
'373220,LG에너지솔루션,+128,+4810,376373,+373000,▲,+2000
'000880,한화,+487,+4646,95433,-121000,▼,-600
'004170,신세계,+160,+4343,270726,+339500,▲,+4000
'267270,HD건설기계,+355,+4302,121195,+133600,▲,+1900
'006260,LS,+170,+3603,212380,+305000,▲,+14500
'103140,풍산,+211,+2639,124906,-99300,▼,-600
'010130,고려아연,+22,+2638,1200165,-1605000,▼,-7000
'064350,현대로템,+112,+2489,222310,-180700,▼,-5600
'009150,삼성전기,+85,+2436,285616,-462000,▼,-17500
'011780,금호석유화학,+179,+2368,132095,-131700,▼,-2500
'006280,녹십자,+146,+2338,159943,+147100,▲,+1900
'241560,두산밥캣,+360,+2256,62597,+63300,▲,+1500
'010120,LS ELECTRIC,+43,+2201,508098,+889000,▲,+16000
'006805,미래에셋증권우,+1038,+1633,15741,+22850,▲,+600
'006800,미래에셋증권,+499,+1509,30248,+67900,▲,+1200
'005387,현대차2우B,+64,+1499,235966,-264500,▼,-6000
'000990,DB하이텍,+202,+1497,73992,-87400,▼,-500
'015760,한국전력,+282,+1435,50904,+49050,▲,+750
'017960,한국카본,+328,+1319,40256,+49300,▲,+950
'052690,한전기술,+114,+1148,100905,+175400,▲,+7400
'096770,SK이노베이션,+110,+1116,101510,+113600,▲,+3300
'298040,효성중공업,+5,+1113,2072756,+2719000,▲,+26000
'000150,두산,+12,+915,777595,+1169000,▲,+20000
'267250,HD현대,+39,+828,211059,+263500,▲,+2500
'009420,한올바이오파마,+158,+800,50712,+55900,▲,+400
'003160,디아이,+261,+762,29246,-38300,▼,-150
'009830,한화솔루션,+264,+717,27194,+52200,▲,+2450
'353200,대덕전자,+162,+705,43427,+82800,▲,+5500
'336260,두산퓨얼셀,+214,+680,31772,-42900,▼,-3000
'00680K,미래에셋증권2우B,+531,+654,12332,+21600,▲,+1400
'097230,HJ중공업,+239,+623,26099,+28450,▲,+650
'062040,산일전기,+43,+613,143557,+157200,▲,+5500
'071050,한국금융지주,+35,+607,171789,+233500,▲,+4500
'105840,우진,+274,+554,20257,+31200,▲,+5050
'195870,해성디에스,+86,+425,49310,+58500,▲,+2500
'010950,S-Oil,+44,+390,88697,+111800,▲,+600
'020150,롯데에너지머티리얼즈,+130,+385,29753,+40800,▲,+3250
'066970,엘앤에프,+37,+375,101538,+110700,▲,+2400
'012510,더존비즈온,+40,+361,91024,+119300,▲,+200
'483650,달바글로벌,+23,+334,148443,+159000,▲,+4100
'0112X0,마이티 200TR,+125,+318,25420,+32560,▲,+120
'009540,HD한국조선해양,+7,+297,450886,-404500,▼,-9000
'006400,삼성SDI,+10,+278,282673,-399500,▼,-3000
'028050,삼성E&A,+99,+250,25225,+39800,▲,+7200
'457190,이수스페셜티케미컬,+41,+248,59912,-91300,▼,-1000
'090435,아모레퍼시픽우,+56,+247,44020,+49000,▲,+2200
'462870,시프트업,+70,+233,33438,+30350,▲,+200
'298020,효성티앤씨,+10,+227,237253,-369500,▼,-19000
'016880,웅진,+882,+212,2399,+3040,▲,+210
'161390,한국타이어앤테크놀로지,+32,+179,56635,+57500,▲,+500
'051600,한전KPS,+34,+175,51730,+67400,▲,+6000
'077970,STX엔진,+40,+167,42019,+34400,▲,+300
'006650,대한유화,+10,+133,139032,+135200,▲,+1200
'025820,이구산업,+212,+124,5831,+5000,▲,+120
'012030,DB,+830,+120,1445,+1835,▲,+96
'294870,HDC현대산업개발,+57,+119,20745,+24350,▲,+2800
'180640,한진칼,+9,+107,118306,128000,-,0
'007070,GS리테일,+52,+105,20303,+20500,▲,+550
'383220,F&F,+17,+105,63192,+62100,▲,+2000
'004890,동일산업,+26,+102,38723,+39500,▲,+200
'069960,현대백화점,+11,+100,92674,+90500,▲,+4500
'032830,삼성생명,+6,+97,159919,-226500,▼,-4000
'417310,코람코더원리츠,+113,+97,8608,+9640,▲,+260
'111770,영원무역,+11,+96,85241,+83300,▲,+2000
'011785,금호석유화학우,+14,+93,66012,+60300,▲,+200
'001440,대한전선,+35,+93,26789,+30700,▲,+600
'015230,대창단조,+133,+86,6478,+6680,▲,+220
'010060,OCI홀딩스,+8,+79,105339,+205000,▲,+6800
'282330,BGF리테일,+7,+76,105051,+123100,▲,+2400
'005440,현대지에프홀딩스,+87,+69,7909,+15190,▲,+230
'326030,SK바이오팜,+5,+68,123368,+98300,▲,+800
'031440,신세계푸드,+14,+67,46845,+50300,▲,+1850
