종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'035420,NAVER,-545,-12261,225095,-207500,[v],-5000
'003230,삼양식품,-72,-10051,1389423,-1169000,[v],-14000
'068270,셀트리온,-526,-9199,174837,-201000,[v],-5000
'365550,ESR켄달스퀘어리츠,-19701,-8484,4306,+4355,[^],+20
'395400,SK리츠,-16377,-7844,4790,-6280,[v],-210
'267250,HD현대,-504,-6697,132934,-247000,[v],-10500
'293940,신한알파리츠,-10965,-5971,5446,-5690,[v],-90
'000150,두산,-103,-5698,553117,-1116000,[v],-87000
'180640,한진칼,-452,-5312,117526,-112100,[v],-5100
'001040,CJ,-334,-5039,150755,-199000,[v],-7500
'005930,삼성전자,-597,-4269,71491,-177000,[v],-2700
'006260,LS,-249,-4167,167051,-263000,[v],-5000
'278470,에이피알,-188,-4019,213258,+327500,[^],+500
'330590,롯데리츠,-10147,-3925,3869,+4695,[^],+55
'000660,SK하이닉스,-136,-3717,272793,-877000,[v],-45000
'096770,SK이노베이션,-344,-3656,106144,+113100,[^],+1700
'007660,이수페타시스,-565,-3464,61257,-105200,[v],-5300
'348950,제이알글로벌리츠,-12336,-3171,2571,-1572,[v],-2
'161390,한국타이어앤테크놀로지,-790,-3156,39953,-55100,[v],-2900
'034730,SK,-166,-3089,186458,-324500,[v],-9500
'105560,KB금융,-255,-2906,113964,-146700,[v],-5500
'357120,코람코라이프인프라리츠,-6802,-2883,4239,-4500,[v],-60
'103590,일진전기,-708,-2761,38979,-71400,[v],-3700
'010140,삼성중공업,-1409,-2658,18869,-24550,[v],-1450
'451800,한화리츠,-6244,-2440,3907,-5070,[v],-40
'267260,HD현대일렉트릭,-50,-2397,478550,-879000,[v],-36000
'432320,KB스타리츠,-5348,-2003,3745,-2240,[v],-120
'439260,대한조선,-218,-1928,88269,-82100,[v],-3600
'062040,산일전기,-165,-1875,113589,-143500,[v],-5800
'010120,LS ELECTRIC,-62,-1861,301378,-777000,[v],-24000
'034220,LG디스플레이,-1369,-1673,12220,-11140,[v],-360
'017960,한국카본,-536,-1633,30454,-39400,[v],-1100
'139480,이마트,-197,-1541,78209,-97500,[v],-2500
'307950,현대오토에버,-96,-1471,152629,-376500,[v],-17500
'008730,율촌화학,-427,-1464,34292,-23850,[v],-100
'011790,SKC,-144,-1457,101030,-96000,[v],-2700
'071970,HD현대마린엔진,-172,-1381,80045,-71600,[v],-5100
'448730,삼성FN리츠,-3210,-1354,4218,-5510,[v],-40
'417310,코람코더원리츠,-2450,-1322,5396,-9530,[v],-160
'078930,GS,-268,-1236,46084,-65900,[v],-2000
'005440,현대지에프홀딩스,-1502,-1159,7712,-14080,[v],-280
'229640,LS에코에너지,-266,-1111,41830,-42300,[v],-2000
'055550,신한지주,-154,-1071,69659,-90900,[v],-2600
'005490,POSCO홀딩스,-34,-1038,304932,-342500,[v],-500
'005940,NH투자증권,-513,-994,19398,-31150,[v],-3100
'100840,SNT에너지,-198,-983,49726,+53300,[^],+5100
'011200,HMM,-446,-968,21695,-19570,[v],-90
'086790,하나금융지주,-112,-960,85950,-107500,[v],-2900
'192400,쿠쿠홀딩스,-304,-921,30287,-28200,[v],-100
'060980,HL홀딩스,-240,-906,37750,-43400,[v],-1850
'006360,GS건설,-468,-865,18485,-26050,[v],-300
'005387,현대차2우B,-48,-805,169382,-246000,[v],-11000
'460860,동국제강,-796,-797,10009,-9040,[v],-220
'017800,현대엘리베이터,-97,-791,81717,-86000,[v],-1100
'088260,이리츠코크렙,-1764,-768,4355,-4775,[v],-95
'000240,한국앤컴퍼니,-332,-753,22685,-24900,[v],-2000
'475150,SK이터닉스,-300,-704,23462,+58300,[^],+5900
'336260,두산퓨얼셀,-259,-692,26705,-36150,[v],-2000
'298020,효성티앤씨,-30,-682,226907,-377500,[v],-24000
'128940,한미약품,-24,-668,276650,-522000,[v],-27000
'353200,대덕전자,-280,-652,23261,-82700,[v],-2700
'028670,팬오션,-1428,-580,4060,-4875,[v],-25
'000640,동아쏘시오홀딩스,-52,-579,110771,-96300,[v],-2100
'377190,디앤디플랫폼리츠,-1611,-515,3196,-2985,[v],-170
'088350,한화생명,-1626,-511,3142,-4560,[v],-160
'012630,HDC,-233,-492,21168,+28900,[^],+350
'008930,한미사이언스,-114,-483,42185,-37300,[v],-1100
'000210,DL,-124,-480,38781,-62300,[v],-300
'009970,영원무역홀딩스,-38,-477,125931,+224500,[^],+2000
'001430,세아베스틸지주,-168,-469,27855,-67100,[v],-2400
'004020,현대제철,-142,-468,32915,-34500,[v],-500
'013890,지누스,-244,-456,18681,-10430,[v],-390
'007070,GS리테일,-261,-436,16690,+22100,[^],+850
'012330,현대모비스,-15,-434,296594,-397500,[v],-11000
'018260,삼성에스디에스,-28,-428,152249,-153800,[v],-2500
'003030,세아제강지주,-24,-422,173844,+205000,[^],+13400
'001800,오리온홀딩스,-205,-411,20048,-23500,[v],-1700
'014830,유니드,-51,-401,77982,-81500,[v],-2500
'004800,효성,-44,-390,88518,-133100,[v],-6500
'090430,아모레퍼시픽,-30,-373,123384,-140600,[v],-3800
