종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'055550,신한지주,-5241,-33045,63051,-90900,[v],-2600
'138930,BNK금융지주,-24441,-32755,13401,-18260,[v],-420
'034230,파라다이스,-7032,-10924,15535,-16650,[v],-1180
'000150,두산,-81,-4505,559556,-1116000,[v],-87000
'006800,미래에셋증권,-1805,-3630,20118,-62900,[v],-4200
'005490,POSCO홀딩스,-110,-3445,314459,-342500,[v],-500
'034020,두산에너빌리티,-523,-3058,58486,-94300,[v],-3800
'000720,현대건설,-422,-3011,71281,-147600,[v],-2200
'483650,달바글로벌,-126,-2277,180107,-148300,[v],-6200
'003230,삼양식품,-15,-1930,1304278,-1169000,[v],-14000
'042660,한화오션,-247,-1831,74000,-119100,[v],-4100
'009830,한화솔루션,-488,-1819,37265,+35800,[^],+150
'207940,삼성바이오로직스,-17,-1779,1041834,-1532000,[v],-74000
'00680K,미래에셋증권2우B,-2133,-1762,8258,-19340,[v],-1160
'004020,현대제철,-461,-1595,34589,-34500,[v],-500
'017670,SK텔레콤,-273,-1465,53653,-78100,[v],-1800
'009150,삼성전기,-102,-1426,139745,-429000,[v],-5000
'035420,NAVER,-56,-1393,248707,-207500,[v],-5000
'039490,키움증권,-61,-1294,212829,-411500,[v],-23500
'035720,카카오,-217,-1286,59107,-47150,[v],-1650
'100090,SK오션플랜트,-524,-1100,20989,+27800,[^],+950
'032830,삼성생명,-76,-957,125081,-220000,[v],-3000
'316140,우리금융지주,-407,-939,23084,-32400,[v],-1200
'030200,KT,-160,-937,58586,-60500,[v],-300
'005380,현대차,-39,-835,214945,-471000,[v],-24000
'450080,에코프로머티,-159,-834,52311,-72100,[v],-1300
'003550,LG,-102,-813,79747,-84800,[v],-4200
'034730,SK,-43,-784,181980,-324500,[v],-9500
'267270,HD건설기계,-99,-779,78967,-126200,[v],-3900
'010060,OCI홀딩스,-84,-736,87591,+193100,[^],+14300
'008930,한미사이언스,-169,-702,41461,-37300,[v],-1100
'103140,풍산,-64,-698,109880,-89200,[v],-2500
'007660,이수페타시스,-130,-667,51431,-105200,[v],-5300
'000270,기아,-67,-666,99799,-151100,[v],-4700
'373220,LG에너지솔루션,-19,-611,314469,+409500,[^],+15000
'329180,HD현대중공업,-16,-603,385289,-481000,[v],-17500
'079900,전진건설로봇,-111,-583,52340,+54100,[^],+500
'012330,현대모비스,-19,-578,297603,-397500,[v],-11000
'194370,제이에스코퍼레이션,-464,-575,12405,-11480,[v],-220
'032350,롯데관광개발,-320,-556,17373,-18340,[v],-1510
'002020,코오롱,-119,-543,45696,-66500,[v],-3300
'010140,삼성중공업,-336,-532,15828,-24550,[v],-1450
'071970,HD현대마린엔진,-123,-517,42129,-71600,[v],-5100
'086790,하나금융지주,-59,-507,86262,-107500,[v],-2900
'006400,삼성SDI,-25,-468,187831,+416000,[^],+10500
'017960,한국카본,-194,-446,23001,-39400,[v],-1100
'005070,코스모신소재,-115,-444,38548,+53400,[^],+1700
'024110,기업은행,-229,-438,19095,-22100,[v],-1450
'000240,한국앤컴퍼니,-209,-434,20707,-24900,[v],-2000
'012450,한화에어로스페이스,-5,-418,784133,-1298000,[v],-37000
'033780,KT&G,-31,-402,130250,-157200,[v],-800
'052690,한전기술,-43,-383,89873,-154900,[v],-2100
'161890,한국콜마,-38,-372,97630,-77000,[v],-3200
'010120,LS ELECTRIC,-14,-369,269085,-777000,[v],-24000
'443060,HD현대마린솔루션,-19,-364,189756,-178300,[v],-5600
'012510,더존비즈온,-41,-309,74819,-119100,[v],-200
'090430,아모레퍼시픽,-23,-305,135292,-140600,[v],-3800
'139130,iM금융지주,-225,-300,13296,-16950,[v],-720
'383800,LX홀딩스,-316,-293,9273,-8100,[v],-210
'001440,대한전선,-179,-287,15992,-27800,[v],-450
'330590,롯데리츠,-720,-281,3900,+4695,[^],+55
'005690,파미셀,-234,-262,11175,-15710,[v],-1210
'037560,LG헬로비전,-826,-258,3117,-2270,[v],-10
'241560,두산밥캣,-44,-245,55716,-58200,[v],-1400
'462870,시프트업,-54,-244,44947,-31750,[v],-550
'130660,한전산업,-184,-243,13220,-18210,[v],-930
'092790,넥스틸,-161,-240,14943,+11470,[^],+100
'024720,콜마홀딩스,-131,-240,18359,-8920,[v],-260
'001420,태원물산,-503,-236,4700,-2775,[v],-70
'457190,이수스페셜티케미컬,-53,-236,44589,-92200,[v],-2200
'009450,경동나비엔,-32,-232,72662,-60400,[v],-1700
'064400,LG씨엔에스,-30,-231,78178,-59000,[v],-2100
'062040,산일전기,-26,-218,83657,-143500,[v],-5800
'000810,삼성화재,-5,-216,447387,443000,-,0
'018670,SK가스,-8,-216,279459,+261500,[^],+15000
'244920,에이플러스에셋,-372,-216,5804,+10930,[^],+420
'047810,한국항공우주,-23,-201,85753,-173600,[v],-12900
'481850,신한글로벌액티브리츠,-1367,-199,1454,1091,-,0
'003540,대신증권,-81,-199,24419,-36000,[v],-1850
