종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'000660,SK하이닉스,+641,+35209,549134,-1006000,▼,-7000
'005490,POSCO홀딩스,+261,+8446,323543,+343000,▲,+5000
'005930,삼성전자,+790,+7857,99401,-199800,▼,-700
'005380,현대차,+227,+5988,263488,522000,-,0
'207940,삼성바이오로직스,+47,+5712,1224623,+1602000,▲,+17000
'015760,한국전력,+725,+3299,45487,+49050,▲,+750
'017670,SK텔레콤,+509,+2765,54323,+78300,▲,+100
'028260,삼성물산,+104,+2380,228836,+299000,▲,+8000
'042660,한화오션,+161,+2300,142527,-129500,▼,-500
'034730,SK,+89,+2226,250583,+358000,▲,+12000
'010120,LS ELECTRIC,+53,+2116,402755,+889000,▲,+16000
'055550,신한지주,+264,+1941,73460,-96100,▼,-400
'402340,SK스퀘어,+67,+1849,276408,-604000,▼,-7000
'034230,파라다이스,+972,+1829,18814,-18270,▼,-620
'017800,현대엘리베이터,+217,+1811,83508,+88400,▲,+1000
'003670,포스코퓨처엠,+72,+1718,237388,+198900,▲,+900
'001440,대한전선,+669,+1423,21251,+30700,▲,+600
'042700,한미반도체,+95,+1359,143299,+309500,▲,+2500
'009150,삼성전기,+53,+1274,239530,-462000,▼,-17500
'006800,미래에셋증권,+470,+1201,25563,+67900,▲,+1200
'000720,현대건설,+158,+1148,72473,-167200,▼,-2300
'010950,S-Oil,+150,+1097,73096,+111800,▲,+600
'012450,한화에어로스페이스,+11,+1081,988523,-1315000,▼,-60000
'007660,이수페타시스,+97,+1067,109414,-126900,▼,-2600
'353200,대덕전자,+258,+970,37596,+82800,▲,+5500
'005830,DB손해보험,+67,+869,130397,+185300,▲,+800
'064400,LG씨엔에스,+132,+856,65072,+66800,▲,+1900
'032830,삼성생명,+52,+825,159715,-226500,▼,-4000
'093050,LF,+411,+750,18258,+22350,▲,+750
'267260,HD현대일렉트릭,+9,+749,871444,-957000,▼,-1000
'000815,삼성화재우,+22,+733,338445,+395000,▲,+2000
'011070,LG이노텍,+31,+698,228725,+295500,▲,+9500
'051900,LG생활건강,+24,+682,286766,+253500,▲,+10500
'030200,KT,+127,+631,49720,+60000,▲,+700
'005940,NH투자증권,+315,+624,19826,+35300,▲,+1900
'081660,미스토홀딩스,+155,+580,37411,-44400,▼,-50
'181710,NHN,+200,+575,28789,-38250,▼,-50
'006120,SK디스커버리,+92,+562,61056,+62300,▲,+2000
'047050,포스코인터내셔널,+96,+551,57602,+77700,▲,+5900
'010060,OCI홀딩스,+42,+483,116314,+205000,▲,+6800
'062040,산일전기,+31,+481,157753,+157200,▲,+5500
'014680,한솔케미칼,+21,+459,218469,+290000,▲,+6500
'017960,한국카본,+121,+455,37510,+49300,▲,+950
'066970,엘앤에프,+29,+436,149950,+110700,▲,+2400
'003240,태광산업,+5,+426,814358,+1226000,▲,+80000
'271560,오리온,+41,+418,101850,+135200,▲,+4600
'003690,코리안리,+374,+402,10772,+13250,▲,+150
'375500,DL이앤씨,+84,+374,44476,+67400,-,+15500
'012330,현대모비스,+13,+369,276776,-403500,▼,-9500
'322000,HD현대에너지솔루션,+62,+366,59191,-131000,▼,-5300
'001040,CJ,+21,+356,173585,+207000,▲,+10000
'086790,하나금융지주,+38,+324,85567,-112400,▼,-800
'000100,유한양행,+27,+323,117632,+99700,▲,+1000
'214320,이노션,+185,+322,17383,+19700,▲,+130
'259960,크래프톤,+11,+314,278546,+236000,▲,+4000
'161890,한국콜마,+41,+314,75842,+77100,▲,+7300
'307950,현대오토에버,+19,+311,160946,+429500,▲,+3500
'005945,NH투자증권우,+167,+303,18124,+27350,▲,+800
'051600,한전KPS,+57,+299,52305,+67400,▲,+6000
'0103T0,1Q K소버린AI,+272,+294,10816,+9660,▲,+40
'066570,LG전자,+33,+293,88593,+117300,▲,+1100
