종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'226950,올릭스,+459,+2239,48740,-187400,[v],-13100
'041510,에스엠,+110,+1401,127750,-88800,[v],-2200
'263750,펄어비스,+315,+1162,36870,+67300,[^],+8500
'251970,펌텍코리아,+151,+848,56065,-46150,[v],-1450
'950160,코오롱티슈진,+176,+664,37621,-117300,[v],-9700
'058470,리노공업,+148,+542,36628,-99700,[v],-5200
'089030,테크윙,+150,+525,34946,-48900,[v],-3100
'108490,로보티즈,+106,+383,36192,-243000,[v],-12000
'437730,삼현,+239,+358,15013,-46700,[v],-3100
'083650,비에이치아이,+118,+330,27988,+96000,[^],+1200
'237690,에스티팜,+42,+317,75814,-149100,[v],-10200
'122870,와이지엔터테인먼트,+44,+300,67708,-53800,[v],-2400
'402030,코난테크놀로지,+109,+299,27455,-18270,[v],-730
'053030,바이넥스,+192,+288,15038,-11360,[v],-500
'093320,케이아이엔엑스,+33,+267,79844,-102600,[v],-1400
'348210,넥스틴,+48,+260,54678,-69000,[v],-4000
'206640,바디텍메드,+124,+222,17862,-11320,[v],-480
'030520,한글과컴퓨터,+84,+184,21878,-19730,[v],-720
'064760,티씨케이,+20,+180,88166,-231500,[v],-7500
'095340,ISC,+34,+178,52518,-249000,[v],-1000
'148150,세경하이테크,+243,+174,7162,-4310,[v],-140
'064820,케이프,+250,+173,6910,-10130,[v],-380
'114840,아이패밀리에스씨,+76,+165,21672,-11060,[v],-470
'213420,덕산네오룩스,+52,+160,30597,-51000,[v],-2000
'460870,에스엠씨지,+236,+156,6616,+4470,[^],+630
'073490,이노와이어리스,+79,+154,19671,-40200,[v],-2650
'051360,토비스,+99,+154,15561,-15290,[v],-510
'253450,스튜디오드래곤,+29,+149,51518,-36950,[v],-750
'082920,비츠로셀,+60,+148,24420,+37550,[^],+2800
'089970,브이엠,+125,+143,11429,-41800,[v],-2900
'441270,파인엠텍,+260,+143,5486,-10050,[v],-410
'272290,이녹스첨단소재,+59,+139,23698,-30000,[v],-2200
'179900,유티아이,+69,+139,20009,-16450,[v],-790
'178320,서진시스템,+56,+119,21308,-42000,[v],-1350
'052400,코나아이,+20,+95,46900,-53300,[v],-2900
'086450,동국제약,+61,+93,15256,+22900,[^],+600
'340570,티앤엘,+13,+93,69518,-50200,[v],-2200
'322310,오로스테크놀로지,+36,+83,22916,-29400,[v],-1850
'257720,실리콘투,+21,+80,37280,-37600,[v],-1200
'065680,우주일렉트로,+28,+78,28431,-27550,[v],-1400
'067310,하나마이크론,+63,+71,11191,-29300,[v],-1800
'452430,사피엔반도체,+35,+67,19222,-30800,[v],-2050
'035900,JYP Ent.,+9,+65,68876,-62300,[v],-2000
'475830,오름테라퓨틱,+36,+64,17670,-94900,[v],-17500
'232140,와이씨,+62,+62,10047,-17850,[v],-890
'204270,제이앤티씨,+44,+62,14098,-16390,[v],-580
'295310,에이치브이엠,+26,+61,23773,-87700,[v],-7500
'473980,노머스,+21,+61,29130,-17050,[v],-430
'236200,슈프리마,+18,+58,32719,-46300,[v],-2700
'189300,인텔리안테크,+14,+54,40024,-120100,[v],-9000
'056190,에스에프에이,+25,+51,20073,-27250,[v],-500
'206650,유바이오로직스,+39,+50,12970,-13750,[v],-490
'112040,위메이드,+20,+50,24939,-20950,[v],-800
'484130,하나34호스팩,+233,+48,2054,-2075,[v],-15
'101970,우양에이치씨,+23,+45,20042,-12140,[v],-410
'319660,피에스케이,+22,+40,18504,-80400,[v],-1700
'086390,유니테스트,+40,+40,10110,-16370,[v],-820
'081180,쎄크,+26,+39,15048,-11340,[v],-420
'450950,아스테라시스,+40,+38,9400,-11060,[v],-180
'321550,티움바이오,+61,+37,6124,-12370,[v],-210
'200670,휴메딕스,+9,+36,40499,-34400,[v],-1400
'051500,CJ프레시웨이,+15,+36,24401,-30650,[v],-250
'045100,한양이엔지,+21,+35,16292,-31300,[v],-1600
'119850,지엔씨에너지,+14,+34,24222,-31850,[v],-1350
'122640,예스티,+17,+30,17113,-20000,[v],-800
'160190,하이젠알앤엠,+9,+29,33493,-35800,[v],-2000
'096530,씨젠,+11,+29,26328,-22400,[v],-950
'058610,에스피지,+11,+28,25481,-107600,[v],-3700
'100120,뷰웍스,+11,+27,24176,-27950,[v],-1200
'260930,씨티케이,+58,+26,4472,-4470,[v],-125
'031980,피에스케이홀딩스,+7,+25,36567,-99400,[v],-300
'136540,윈스테크넷,+20,+24,11882,-11220,[v],-30
'044490,태웅,+14,+22,15934,+47250,[^],+300
'025980,아난티,+29,+21,7171,-6690,[v],-330
'049720,고려신용정보,+19,+19,10144,-10160,[v],-70
'036620,감성코퍼레이션,+53,+19,3633,-5350,[v],-430
'352480,씨앤씨인터내셔널,+6,+19,32708,-26250,[v],-650
'293780,압타바이오,+25,+18,7077,-7270,[v],-280
'023910,대한약품,+6,+16,27162,-28700,[v],-300
'260970,에스앤디,+2,+16,90545,-54000,[v],-2300
'161580,필옵틱스,+5,+15,32103,-38100,[v],-1400
'115180,큐리언트,+15,+15,9706,-38300,[v],-2200
'098460,고영,+10,+14,14266,-26050,[v],-1250
'014620,성광벤드,+5,+13,29147,+34100,[^],+950
'479960,위너스,+6,+13,19992,-9730,[v],-250
'172670,에이엘티,+15,+12,8062,-11000,[v],-840
'389260,대명에너지,+8,+12,14482,+24850,[^],+4850
'143240,사람인,+8,+12,15498,-16980,[v],-310
'216080,제테마,+16,+12,7260,-7980,[v],-160
'080220,제주반도체,+9,+12,13293,-37050,[v],-3100
'102710,이엔에프테크놀로지,+5,+12,25535,-48650,[v],-1950
'123410,코리아에프티,+25,+12,4577,-7000,[v],-170
'043370,피에이치에이,+11,+11,10076,-12250,[v],-170
'382900,범한퓨얼셀,+7,+11,16968,-27050,[v],-1100
'228850,레이언스,+16,+11,6759,-6310,[v],-30
'440110,파두,+10,+11,10678,-49900,[v],-2500
'126700,하이비젼시스템,+7,+11,15847,-16000,[v],-1160
'101160,월덱스,+6,+10,17489,-29800,[v],-200
'481890,엔에이치스팩31호,+49,+10,2025,+2110,[^],+5
'222800,심텍,+6,+10,16137,-52200,[v],-4000
