종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'000660,SK하이닉스,+5996,+545469,909737,+1037000,[^],+121000
'012450,한화에어로스페이스,+1152,+172616,1498079,-1478000,[v],-59000
'006400,삼성SDI,+1107,+51448,464599,+472000,[^],+15500
'272210,한화시스템,+3733,+49345,132174,+132400,[^],+700
'035720,카카오,+8391,+38993,46471,+48050,[^],+1650
'066970,엘앤에프,+2032,+36766,180929,+185900,[^],+900
'064350,현대로템,+1608,+34163,212416,-208000,[v],-3000
'051910,LG화학,+907,+29579,326102,+345000,[^],+21500
'079550,LIG넥스원,+344,+28548,829334,+830000,[^],+3000
'278470,에이피알,+720,+24030,333574,+335000,[^],+17000
'373220,LG에너지솔루션,+570,+23773,417406,+409500,[^],+1000
'012330,현대모비스,+571,+22121,387406,+409000,[^],+19000
'009150,삼성전기,+435,+19662,451491,+520000,[^],+63000
'402340,SK스퀘어,+393,+19598,499264,+585000,[^],+86000
'047810,한국항공우주,+1005,+18756,186566,+190400,[^],+4100
'017670,SK텔레콤,+2256,+18232,80805,+88900,[^],+7300
'096770,SK이노베이션,+1416,+18044,127456,-121000,[v],-800
'000720,현대건설,+1009,+16601,164475,+189700,[^],+33800
'483650,달바글로벌,+972,+15974,164339,+166500,[^],+4700
'068270,셀트리온,+677,+13087,193408,+203000,[^],+9300
'097950,CJ제일제당,+549,+13045,237528,-230500,[v],-8500
'034220,LG디스플레이,+11034,+12663,11476,+12110,[^],+840
'000270,기아,+797,+11958,150029,+161400,[^],+10600
'042660,한화오션,+811,+9975,123044,+128500,[^],+7600
'008770,호텔신라,+1910,+8726,45680,+47550,[^],+1400
'139480,이마트,+913,+8473,92847,+94200,[^],+2000
'093370,후성,+8136,+8341,10251,-9800,[v],-70
'009540,HD한국조선해양,+212,+7957,376094,+392500,[^],+16500
'015760,한국전력,+1937,+7806,40292,+44450,[^],+4550
'086280,현대글로비스,+375,+7758,206992,+224000,[^],+16000
'039490,키움증권,+188,+7716,411329,+460000,[^],+50500
'011170,롯데케미칼,+863,+7605,88168,+91600,[^],+3600
'138930,BNK금융지주,+4340,+7569,17439,+17700,[^],+370
'011790,SKC,+742,+7012,94461,+96500,[^],+5200
'028260,삼성물산,+246,+6590,268441,+313500,[^],+39500
'032350,롯데관광개발,+4109,+6553,15950,+17010,[^],+920
'024110,기업은행,+2957,+6363,21521,+22150,[^],+800
'003550,LG,+712,+6204,87093,+92000,[^],+4400
'005940,NH투자증권,+1996,+6167,30900,+34050,[^],+3500
'010060,OCI홀딩스,+301,+6001,199498,-198300,[v],-1500
'001040,CJ,+327,+5977,182844,+195500,[^],+12300
'000810,삼성화재,+131,+5829,445620,+469000,[^],+22500
'450080,에코프로머티,+834,+5741,68818,+76600,[^],+3500
'014680,한솔케미칼,+204,+5266,258373,+273500,[^],+13000
'000880,한화,+426,+5030,118058,+123800,[^],+8300
'009830,한화솔루션,+1321,+4966,37605,+40500,[^],+3350
'005090,SGC에너지,+867,+4373,50469,+52400,[^],+900
'032640,LG유플러스,+2694,+4249,15771,+16160,[^],+280
'323410,카카오뱅크,+1726,+4156,24080,+25000,[^],+1350
'004020,현대제철,+1190,+4134,34754,+38350,[^],+3900
'271560,오리온,+320,+4125,128796,130000,-,0
'034230,파라다이스,+2823,+4097,14515,+14920,[^],+320
'003230,삼양식품,+34,+3951,1164123,+1177000,[^],+13000
'069960,현대백화점,+505,+3784,74938,+79100,[^],+4400
'005830,DB손해보험,+231,+3706,160698,+168000,[^],+7700
'010140,삼성중공업,+1383,+3668,26514,+28750,[^],+1950
'001120,LX인터내셔널,+716,+3564,49784,-46550,[v],-4050
'002380,KCC,+76,+3506,461677,+516000,[^],+55000
'329180,HD현대중공업,+73,+3436,472716,+489500,[^],+19500
'034730,SK,+106,+3348,316131,+343000,[^],+30500
'259960,크래프톤,+136,+3181,233313,+235500,[^],+2500
'011200,HMM,+1519,+3062,20166,+20750,[^],+600
'011780,금호석유화학,+237,+2938,123797,+130500,[^],+7000
'018880,한온시스템,+7911,+2930,3704,+3950,[^],+230
'204320,HL만도,+609,+2906,47744,+51400,[^],+3600
'241560,두산밥캣,+462,+2874,62150,+66800,[^],+5000
'005070,코스모신소재,+516,+2865,55506,+54300,[^],+2300
'010130,고려아연,+20,+2864,1462764,+1593000,[^],+120000
'161390,한국타이어앤테크놀로지,+487,+2585,53120,+60800,[^],+7500
'051915,LG화학우,+156,+2490,159529,+166000,[^],+7900
'006260,LS,+99,+2424,244755,+289000,[^],+27500
'028670,팬오션,+4561,+2361,5178,+5160,[^],+20
'020150,롯데에너지머티리얼즈,+511,+2348,45905,+45700,[^],+200
'100090,SK오션플랜트,+809,+2155,26648,+26550,[^],+700
'105840,우진,+972,+2146,22069,+24350,[^],+2250
'267250,HD현대,+87,+2085,239155,+251500,[^],+15000
'003670,포스코퓨처엠,+91,+2079,229667,+219500,[^],+10500
'128940,한미약품,+41,+1971,484629,-499500,[v],-7500
'011210,현대위아,+259,+1938,74955,+80300,[^],+4700
'010950,S-Oil,+155,+1906,123187,-112300,[v],-2500
'005385,현대차우,+76,+1766,231761,+249000,[^],+11500
'377300,카카오페이,+346,+1712,49439,+52900,[^],+3850
'034020,두산에너빌리티,+159,+1597,100767,+101700,[^],+6800
'032830,삼성생명,+72,+1593,222214,+239500,[^],+17500
'003280,흥아해운,+4193,+1409,3361,-2990,[v],-805
'007340,DN오토모티브,+411,+1408,34269,+36300,[^],+1850
'000210,DL,+212,+1356,63862,+67600,[^],+3300
