종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'278470,에이피알,-808,-20719,256447,-361500,▼,-7500
'000660,SK하이닉스,-460,-18592,404598,-1006000,▼,-7000
'012450,한화에어로스페이스,-164,-18070,1101178,-1315000,▼,-60000
'373220,LG에너지솔루션,-257,-9893,384236,+373000,▲,+2000
'352820,하이브,-294,-7913,269499,-347000,▼,-7500
'015760,한국전력,-1949,-6893,35375,+49050,▲,+750
'051910,LG화학,-245,-6858,279467,+308000,▲,+4500
'006400,삼성SDI,-285,-5893,206545,-399500,▼,-3000
'055550,신한지주,-719,-5180,72015,-96100,▼,-400
'001040,CJ,-263,-4736,179944,+207000,▲,+10000
'033780,KT&G,-316,-4224,133648,-156200,▼,-800
'068270,셀트리온,-238,-4176,175802,-201000,▼,-1000
'012330,현대모비스,-124,-3696,298905,-403500,▼,-9500
'071050,한국금융지주,-212,-3101,146278,+233500,▲,+4500
'062040,산일전기,-276,-2938,106604,+157200,▲,+5500
'066570,LG전자,-376,-2883,76689,+117300,▲,+1100
'052690,한전기술,-336,-2863,85308,+175400,▲,+7400
'251270,넷마블,-458,-2727,59590,+51800,▲,+800
'010140,삼성중공업,-1248,-2716,21770,+28650,▲,+150
'034230,파라다이스,-1267,-2690,21236,-18270,▼,-620
'100090,SK오션플랜트,-1114,-2669,23961,+25550,-,+5870
'047810,한국항공우주,-249,-2662,107007,-186200,▼,-4200
'034020,두산에너빌리티,-416,-2603,62592,+109600,▲,+3300
'018260,삼성에스디에스,-130,-2186,167993,+162000,▲,+500
'484870,엠앤씨솔루션,-99,-2134,216672,-113600,▼,-3500
'316140,우리금융지주,-791,-2067,26120,+33800,▲,+200
'267260,HD현대일렉트릭,-29,-1824,621123,-957000,▼,-1000
'005830,DB손해보험,-133,-1818,136350,+185300,▲,+800
'272210,한화시스템,-304,-1805,59421,-135800,▼,-5200
'000270,기아,-174,-1791,103156,-170200,▼,-300
'036570,엔씨소프트,-80,-1729,216456,+226000,▲,+5000
'128940,한미약품,-47,-1687,356164,+555000,▲,+36000
'207940,삼성바이오로직스,-16,-1662,1012523,+1602000,▲,+17000
'307950,현대오토에버,-100,-1521,152458,+429500,▲,+3500
'009540,HD한국조선해양,-36,-1482,409933,-404500,▼,-9000
'003570,SNT다이내믹스,-201,-1458,72574,-47700,▼,-350
'032640,LG유플러스,-950,-1445,15207,+15690,▲,+70
'090430,아모레퍼시픽,-116,-1414,121855,+140000,▲,+5300
'009150,삼성전기,-68,-1331,195506,-462000,▼,-17500
'249420,일동제약,-469,-1287,27455,-31200,▼,-200
'069620,대웅제약,-83,-1105,132935,+160400,▲,+400
'024110,기업은행,-549,-1066,19397,+24100,▲,+400
'100840,SNT에너지,-199,-1049,52760,+53800,▲,+12250
'000100,유한양행,-86,-1035,120847,+99700,▲,+1000
'004020,현대제철,-306,-1026,33522,+37100,▲,+1250
'032830,삼성생명,-65,-1022,158378,-226500,▼,-4000
'003550,LG,-140,-1008,72210,+94500,▲,+4000
'007340,DN오토모티브,-439,-992,22614,+39650,▲,+50
'161390,한국타이어앤테크놀로지,-253,-977,38684,+57500,▲,+500
'375500,DL이앤씨,-232,-958,41298,+67400,-,+15500
'281820,케이씨텍,-238,-944,39595,-49600,▼,-1200
'499790,GS피앤엘,-203,-936,46000,-48450,▼,-1300
'003490,대한항공,-402,-917,22826,+26150,▲,+1600
'294870,HDC현대산업개발,-418,-842,20123,+24350,▲,+2800
'030000,제일기획,-412,-837,20295,+21300,▲,+350
'005690,파미셀,-682,-807,11832,+16100,▲,+170
'259960,크래프톤,-27,-805,300106,+236000,▲,+4000
'005940,NH투자증권,-382,-751,19675,+35300,▲,+1900
'002380,KCC,-20,-751,375638,+543000,▲,+9000
'051915,LG화학우,-52,-743,142023,+156800,▲,+3500
'003690,코리안리,-669,-733,10965,+13250,▲,+150
'009830,한화솔루션,-245,-708,28877,+52200,▲,+2450
'017800,현대엘리베이터,-89,-702,78482,+88400,▲,+1000
'000880,한화,-81,-699,86512,-121000,▼,-600
'036530,SNT홀딩스,-91,-656,72405,+65600,▲,+1400
'011790,SKC,-58,-601,103485,+99300,▲,+200
'051900,LG생활건강,-21,-600,290317,+253500,▲,+10500
'006360,GS건설,-323,-599,18550,+33450,▲,+7500
'077970,STX엔진,-149,-591,39603,+34400,▲,+300
'051600,한전KPS,-121,-582,48009,+67400,▲,+6000
'105560,KB금융,-47,-553,116819,-153800,▼,-1900
'450080,에코프로머티,-110,-530,47955,+62500,▲,+1800
'069960,현대백화점,-61,-520,85578,+90500,▲,+4500
'001530,DI동일,-254,-514,20225,-21700,▼,-250
'302440,SK바이오사이언스,-102,-484,47548,+42650,▲,+700
'031210,서울보증보험,-94,-476,50825,-56300,▼,-200
'001430,세아베스틸지주,-181,-459,25440,+65900,▲,+800
'317450,명인제약,-36,-455,125918,+58600,▲,+200
'001120,LX인터내셔널,-142,-431,30407,+47300,▲,+2800
'007810,코리아써키트,-226,-428,18896,+64500,▲,+2400
'000810,삼성화재,-9,-427,451318,-476000,▼,-2500
'006260,LS,-25,-419,169572,+305000,▲,+14500
'071320,지역난방공사,-48,-413,85534,+92600,▲,+2900
'081660,미스토홀딩스,-104,-408,39060,-44400,▼,-50
