종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'263750,펄어비스,+3688,+20478,55530,+57700,[^],+6900
'028300,HLB,+2549,+13262,52027,+52600,[^],+2650
'950160,코오롱티슈진,+973,+12056,123876,+127000,[^],+7200
'058610,에스피지,+826,+8807,106617,+109100,[^],+1100
'277810,레인보우로보틱스,+152,+8190,539894,+560000,[^],+2000
'087010,펩트론,+213,+6183,290548,+298500,[^],+8500
'247540,에코프로비엠,+273,+5500,201261,+199900,[^],+1000
'031980,피에스케이홀딩스,+544,+5241,96423,-98300,[v],-2500
'257720,실리콘투,+1097,+4221,38473,+38400,[^],+1800
'456010,아이씨티케이,+2517,+4035,16029,+15350,[^],+1250
'137400,피엔티,+773,+3860,49961,+50100,[^],+1650
'098460,고영,+1277,+3461,27105,+27300,[^],+200
'290650,엘앤씨바이오,+476,+3459,72680,+72500,[^],+1600
'319400,현대무벡스,+1313,+3322,25294,-25650,[v],-1350
'035900,JYP Ent.,+514,+3289,63949,-63700,[v],-500
'214450,파마리서치,+105,+3240,307318,+311000,[^],+1500
'041510,에스엠,+355,+3219,90601,-90400,[v],-1400
'417200,LS머트리얼즈,+1639,+3110,18971,-19120,[v],-930
'048410,현대바이오,+2235,+2984,13352,+14020,[^],+310
'007390,네이처셀,+1653,+2922,17679,+18070,[^],+970
'466100,클로봇,+573,+2804,48921,-50300,[v],-400
'085660,차바이오텍,+1357,+2606,19204,+19620,[^],+40
'121600,나노신소재,+386,+2577,66838,+67100,[^],+4900
'039200,오스코텍,+478,+2577,53939,-53800,[v],-500
'046120,오르비텍,+2186,+2332,10669,-11600,[v],-200
'402490,그린리소스,+1530,+2301,15037,+15410,[^],+2150
'214150,클래시스,+431,+2281,52902,+53500,[^],+800
'064260,다날,+3537,+2247,6351,+6430,[^],+50
'084990,헬릭스미스,+2848,+2234,7847,+8010,[^],+990
'217730,강스템바이오텍,+7039,+2230,3169,+3585,-,+825
'290550,디케이티,+1137,+2147,18878,+18860,[^],+20
'038110,에코플라스틱,+5925,+2043,3448,-4085,[v],-145
'278280,천보,+377,+2004,53217,+50900,[^],+3400
'018290,브이티,+1304,+1985,15222,+15630,[^],+970
'214370,케어젠,+212,+1983,93711,+95000,[^],+1200
'033500,동성화인텍,+832,+1926,23145,-23150,[v],-850
'195940,HK이노엔,+363,+1893,52219,+52600,[^],+100
'060250,NHN KCP,+1066,+1773,16631,+17050,[^],+440
'056080,유진로봇,+688,+1728,25129,+26200,[^],+150
'475580,에이럭스,+1251,+1700,13590,+14000,[^],+1690
'131290,티에스이,+157,+1694,107865,-109500,[v],-5500
'068760,셀트리온제약,+286,+1647,57560,+58100,[^],+500
'060280,큐렉소,+959,+1633,17029,+17460,[^],+200
'115440,우리넷,+1449,+1576,10872,+13790,[^],+930
'340440,세림B&G,+6295,+1471,2337,+2260,[^],+100
'293490,카카오게임즈,+1101,+1450,13166,-13000,[v],-420
'030530,원익홀딩스,+484,+1394,28774,-29450,[v],-1100
'189300,인텔리안테크,+109,+1367,124993,-126400,[v],-1600
'033160,엠케이전자,+869,+1346,15486,-15590,[v],-760
'950140,잉글우드랩,+1050,+1342,12773,-12730,[v],-80
'122870,와이지엔터테인먼트,+238,+1328,55700,-55900,[v],-300
'376300,디어유,+407,+1306,32109,+32450,[^],+150
'145020,휴젤,+51,+1303,256370,+258000,[^],+3500
'298830,슈어소프트테크,+1849,+1280,6920,+7130,[^],+230
'006730,서부T&D,+919,+1242,13512,+13730,[^],+210
'161580,필옵틱스,+321,+1238,38571,+39300,[^],+300
'105550,엣지파운드리,+9692,+1207,1245,-1309,[v],-59
'123330,제닉,+370,+1178,31868,+32600,[^],+3850
'0088M0,메쥬,+284,+1023,36039,+40300,[^],+1300
'323280,태성,+198,+1009,51012,+57800,[^],+1800
'041190,우리기술투자,+1565,+1002,6403,+6510,[^],+140
'086520,에코프로,+38,+986,258251,+147600,[^],+1600
'160190,하이젠알앤엠,+269,+979,36431,37800,-,0
'321550,티움바이오,+762,+971,12747,+12580,[^],+760
'462350,이노스페이스,+617,+938,15210,-15600,[v],-120
'289080,SV인베스트먼트,+2542,+933,3670,+4550,-,+1050
'083450,GST,+344,+925,26915,-26700,[v],-1050
'015750,성우하이텍,+1002,+870,8683,+8860,[^],+30
'168360,펨트론,+425,+863,20306,-20300,[v],-350
