종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'012450,한화에어로스페이스,-228,-18644,817709,-1295000,[v],-40000
'000660,SK하이닉스,-525,-10784,205519,-877000,[v],-45000
'000720,현대건설,-1211,-7758,64064,-147800,[v],-2000
'267250,HD현대,-679,-7603,111930,-246500,[v],-11000
'028260,삼성물산,-424,-6334,149522,-260500,[v],-8500
'034020,두산에너빌리티,-1297,-5289,40776,-94200,[v],-3900
'000150,두산,-90,-4410,491536,-1114000,[v],-89000
'064350,현대로템,-304,-4394,144347,-179400,[v],-4800
'489790,한화비전,-780,-4055,51975,-75800,[v],-4700
'035420,NAVER,-177,-3313,186729,-206500,[v],-6000
'007660,이수페타시스,-697,-2738,39309,-105100,[v],-5400
'005380,현대차,-129,-2395,186095,-471000,[v],-24000
'047810,한국항공우주,-283,-2351,83144,-173900,[v],-12600
'000270,기아,-261,-2347,90005,-151000,[v],-4800
'034730,SK,-129,-2115,163431,-324500,[v],-9500
'475150,SK이터닉스,-1045,-2041,19527,+58400,[^],+6000
'373220,LG에너지솔루션,-69,-1981,285920,+409000,[^],+14500
'105560,KB금융,-188,-1952,103905,-146600,[v],-5600
'036570,엔씨소프트,-121,-1838,151842,-222500,[v],-7500
'017960,한국카본,-836,-1826,21845,-39350,[v],-1150
'352820,하이브,-68,-1803,266570,-302500,[v],-4500
'010120,LS ELECTRIC,-71,-1764,248443,-776000,[v],-25000
'450080,에코프로머티,-379,-1707,45080,-72100,[v],-1300
'329180,HD현대중공업,-42,-1705,403396,-481000,[v],-17500
'267260,HD현대일렉트릭,-38,-1424,377892,-879000,[v],-36000
'012330,현대모비스,-49,-1232,253479,-397500,[v],-11000
'018260,삼성에스디에스,-89,-1158,130671,-153700,[v],-2600
'086790,하나금융지주,-157,-1136,72171,-107600,[v],-2800
'103140,풍산,-178,-1103,61806,-89400,[v],-2300
'006360,GS건설,-466,-1046,22427,-25900,[v],-450
'030200,KT,-203,-1030,50826,-60600,[v],-200
'055550,신한지주,-177,-1021,57825,-90800,[v],-2700
'298040,효성중공업,-16,-975,616682,-2507000,[v],-169000
'071320,지역난방공사,-121,-952,78813,-75400,[v],-4000
'161890,한국콜마,-108,-896,82850,-76900,[v],-3300
'000240,한국앤컴퍼니,-428,-872,20361,-25000,[v],-1900
'005387,현대차2우B,-58,-856,147922,-246000,[v],-11000
'011790,SKC,-86,-774,89697,-96000,[v],-2700
'483650,달바글로벌,-47,-706,150457,-148400,[v],-6100
'005490,POSCO홀딩스,-27,-693,254701,-342500,[v],-500
'032830,삼성생명,-67,-664,99544,-220000,[v],-3000
'051910,LG화학,-33,-660,197344,+322000,[^],+9000
'006260,LS,-40,-636,159799,-262000,[v],-6000
'006400,삼성SDI,-37,-631,168914,+415000,[^],+9500
'025540,한국단자,-94,-577,61377,-75900,[v],-2800
'066570,LG전자,-80,-570,71185,-108300,[v],-3700
'006800,미래에셋증권,-327,-507,15494,-63000,[v],-4100
'278470,에이피알,-44,-503,113884,+327500,[^],+500
'014680,한솔케미칼,-38,-501,130133,-266000,[v],-7000
'375500,DL이앤씨,-102,-493,48497,+68200,[^],+2400
'000810,삼성화재,-12,-480,401396,443000,-,0
'139480,이마트,-53,-480,91136,-97600,[v],-2400
'294870,HDC현대산업개발,-203,-474,23336,-21500,[v],-750
'009150,삼성전기,-37,-449,122701,-428500,[v],-5500
'000640,동아쏘시오홀딩스,-39,-442,112474,-96200,[v],-2200
'088980,맥쿼리인프라,-375,-440,11740,-11340,[v],-70
'011070,LG이노텍,-30,-439,146499,-310000,[v],-10500
'175330,JB금융지주,-224,-424,18950,-30450,[v],-650
'010950,S-Oil,-78,-423,54493,-108700,[v],-1000
'395400,SK리츠,-875,-418,4774,-6280,[v],-210
'161390,한국타이어앤테크놀로지,-106,-411,38828,-55200,[v],-2800
'293940,신한알파리츠,-729,-410,5624,-5690,[v],-90
'484870,엠앤씨솔루션,-33,-410,125209,-99500,[v],-3700
'377300,카카오페이,-102,-383,37688,-50900,[v],-2600
'000990,DB하이텍,-81,-318,39128,-81600,[v],-2200
'180640,한진칼,-22,-317,144984,-112200,[v],-5000
'012510,더존비즈온,-56,-312,55371,-119100,[v],-200
'017800,현대엘리베이터,-41,-309,74893,-85900,[v],-1200
'018670,SK가스,-15,-308,211188,+262000,[^],+15500
'005690,파미셀,-255,-302,11832,-15730,[v],-1190
'323410,카카오뱅크,-126,-296,23478,-24350,[v],-300
'326030,SK바이오팜,-32,-292,92612,-96800,[v],-3500
'005180,빙그레,-32,-286,90630,-72100,[v],-2100
