종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'068270,셀트리온,+560,+10237,182662,-201000,▼,-1000
'036460,한국가스공사,+1872,+7666,40953,+37500,▲,+1250
'139130,iM금융지주,+3487,+5444,15611,+17310,▲,+510
'217590,티엠씨,+1683,+3963,23544,+23900,▲,+4320
'010140,삼성중공업,+1247,+3130,25092,+28650,▲,+150
'006800,미래에셋증권,+925,+2217,23975,+67900,▲,+1200
'278470,에이피알,+83,+1946,235280,-361500,▼,-7500
'067830,세이브존I&C,+5282,+1875,3550,+3250,▲,+265
'114090,GKL,+1145,+1744,15236,+12280,▲,+270
'013890,지누스,+1189,+1566,13172,+11510,▲,+10
'006400,삼성SDI,+56,+1553,279679,-399500,▼,-3000
'039130,하나투어,+300,+1473,49092,+42550,▲,+1000
'015760,한국전력,+279,+1350,48331,+49050,▲,+750
'035250,강원랜드,+559,+1055,18874,+18180,▲,+330
'005935,삼성전자우,+122,+1039,85308,-139200,▼,-5000
'030200,KT,+190,+1010,53237,+60000,▲,+700
'210980,SK디앤디,+783,+998,12745,+13300,▲,+100
'180640,한진칼,+78,+930,119769,128000,-,0
'298040,효성중공업,+5,+881,1835492,+2719000,▲,+26000
'007660,이수페타시스,+52,+636,123344,-126900,▼,-2600
'128820,대성산업,+598,+562,9401,+7550,▲,+140
'031440,신세계푸드,+114,+545,47902,+50300,▲,+1850
'005380,현대차,+19,+534,286449,522000,-,0
'001430,세아베스틸지주,+119,+531,44667,+65900,▲,+800
'011200,HMM,+251,+516,20538,+21250,▲,+400
'000155,두산우,+10,+469,491146,+512000,▲,+11000
'024110,기업은행,+219,+464,21195,+24100,▲,+400
'014680,한솔케미칼,+18,+402,224637,+290000,▲,+6500
'004490,세방전지,+56,+370,65665,+61200,▲,+800
'010060,OCI홀딩스,+29,+352,123068,+205000,▲,+6800
'001270,부국증권,+59,+348,59282,+78600,▲,+1500
'006805,미래에셋증권우,+232,+337,14558,+22850,▲,+600
'082740,한화엔진,+75,+330,44301,+49000,▲,+450
'204320,HL만도,+54,+286,53222,+54000,▲,+1000
'294870,HDC현대산업개발,+134,+283,21108,+24350,▲,+2800
'011070,LG이노텍,+10,+283,275746,+295500,▲,+9500
'052690,한전기술,+29,+263,92147,+175400,▲,+7400
'086280,현대글로비스,+15,+263,177216,-230000,▼,-500
'010950,S-Oil,+28,+234,83904,+111800,▲,+600
'003610,방림,+368,+218,5929,-5430,▼,-50
'004990,롯데지주,+73,+204,27804,+32100,▲,+1400
'015360,INVENI,+29,+196,67429,+81400,▲,+2400
'034120,SBS,+94,+181,19245,+17280,▲,+360
'084690,대상홀딩스,+176,+172,9794,+9670,▲,+190
'062040,산일전기,+12,+168,135031,+157200,▲,+5500
'034730,SK,+6,+163,253481,+358000,▲,+12000
'353200,대덕전자,+34,+162,47464,+82800,▲,+5500
'298020,효성티앤씨,+7,+158,239659,-369500,▼,-19000
'002840,미원상사,+10,+155,155697,+136900,▲,+1300
'001680,대상,+71,+155,21691,+20850,▲,+550
'005430,한국공항,+22,+146,65090,57800,-,0
'015860,일진홀딩스,+200,+143,7152,+7660,▲,+380
'035150,백산,+103,+138,13463,-13410,▼,-40
'093370,후성,+166,+130,7853,+7060,▲,+60
