종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'035420,NAVER,-5291,-140193,264967,-207500,[v],-5000
'005930,삼성전자,-21117,-127664,60454,-177000,[v],-2700
'005380,현대차,-2523,-53094,210466,-471000,[v],-24000
'006800,미래에셋증권,-21791,-47450,21775,-62900,[v],-4200
'015760,한국전력,-11068,-43627,39419,-42050,[v],-1850
'006400,삼성SDI,-1563,-27342,174889,+416000,[^],+10500
'000720,현대건설,-3491,-27158,77799,-147600,[v],-2200
'035720,카카오,-4065,-26302,64698,-47150,[v],-1650
'009150,삼성전기,-1660,-23270,140186,-429000,[v],-5000
'329180,HD현대중공업,-526,-22430,426062,-481000,[v],-17500
'047810,한국항공우주,-2329,-21912,94094,-173600,[v],-12900
'402340,SK스퀘어,-1118,-21267,190216,-513000,[v],-31000
'055550,신한지주,-3521,-21011,59677,-90900,[v],-2600
'064350,현대로템,-1073,-20806,193828,-179300,[v],-4900
'375500,DL이앤씨,-2997,-17529,58485,+68600,[^],+2800
'272210,한화시스템,-2645,-16065,60727,-118400,[v],-5700
'079550,LIG넥스원,-277,-14739,531752,-669000,[v],-66000
'005490,POSCO홀딩스,-540,-14472,267982,-342500,[v],-500
'068270,셀트리온,-902,-14430,159980,-201000,[v],-5000
'323410,카카오뱅크,-4471,-14172,31698,-24350,[v],-300
'450080,에코프로머티,-2612,-12575,48144,-72100,[v],-1300
'042700,한미반도체,-1217,-12449,102291,-262500,[v],-13000
'267260,HD현대일렉트릭,-242,-11649,482357,-879000,[v],-36000
'010120,LS ELECTRIC,-398,-11543,289889,-777000,[v],-24000
'034020,두산에너빌리티,-1497,-11110,74222,-94300,[v],-3800
'042660,한화오션,-1189,-9668,81303,-119100,[v],-4100
'454910,두산로보틱스,-1471,-9221,62675,-81000,[v],-3900
'036460,한국가스공사,-2199,-8872,40352,-34950,[v],-450
'011200,HMM,-3629,-8396,23137,-19570,[v],-90
'457190,이수스페셜티케미컬,-1724,-7999,46393,-92200,[v],-2200
'012450,한화에어로스페이스,-89,-7730,865845,-1298000,[v],-37000
'475150,SK이터닉스,-3016,-7695,25516,+58300,[^],+5900
'051600,한전KPS,-1165,-7382,63342,-57700,[v],-1300
'097950,CJ제일제당,-284,-7302,256705,+218000,[^],+3500
'090430,아모레퍼시픽,-542,-7242,133668,-140600,[v],-3800
'105560,KB금융,-621,-6749,108692,-146700,[v],-5500
'007660,이수페타시스,-1300,-6405,49278,-105200,[v],-5300
'278470,에이피알,-425,-6315,148651,+327500,[^],+500
'000100,유한양행,-584,-5914,101303,-98200,[v],-2200
'066570,LG전자,-788,-5908,74956,-108600,[v],-3400
'000150,두산,-83,-5586,670958,-1116000,[v],-87000
'005385,현대차우,-341,-5454,160141,-243500,[v],-13500
'011070,LG이노텍,-358,-5439,151872,-309500,[v],-11000
'003490,대한항공,-2224,-5347,24039,-24450,[v],-850
'011780,금호석유화학,-468,-5291,112947,-120300,[v],-6200
'032830,삼성생명,-379,-4705,124155,-220000,[v],-3000
'051910,LG화학,-218,-4689,215083,+323000,[^],+10000
'120110,코오롱인더,-1079,-4541,42089,-77700,[v],-2300
'373220,LG에너지솔루션,-151,-4460,295529,+409500,[^],+15000
'026960,동서,-1484,-4364,29416,+27750,[^],+350
'285130,SK케미칼,-578,-4186,72392,-52600,[v],-2400
'010130,고려아연,-50,-3980,791823,-1463000,[v],-20000
'003670,포스코퓨처엠,-304,-3924,129155,+218000,[^],+9000
'462870,시프트업,-757,-3752,49588,-31750,[v],-550
'316140,우리금융지주,-1619,-3615,22323,-32400,[v],-1200
'086790,하나금융지주,-430,-3554,82723,-107500,[v],-2900
'100840,SNT에너지,-827,-3369,40712,+53300,[^],+5100
'078930,GS,-717,-3298,46014,-65900,[v],-2000
'024110,기업은행,-1775,-3289,18527,-22100,[v],-1450
'011500,한농화성,-2000,-3168,15836,-20350,[v],-650
'138930,BNK금융지주,-2305,-2861,12411,-18260,[v],-420
'353200,대덕전자,-1565,-2811,17965,-82700,[v],-2700
'005070,코스모신소재,-763,-2684,35178,+53400,[^],+1700
'035250,강원랜드,-1425,-2637,18501,-17900,[v],-360
'079900,전진건설로봇,-414,-2564,61933,+54100,[^],+500
'034730,SK,-132,-2550,192790,-324500,[v],-9500
'000210,DL,-456,-2086,45739,-62300,[v],-300
'047050,포스코인터내셔널,-407,-1999,49070,+75700,[^],+1200
'001430,세아베스틸지주,-648,-1989,30682,-67100,[v],-2400
'204320,HL만도,-564,-1882,33395,-50300,[v],-900
'139130,iM금융지주,-1481,-1838,12417,-16950,[v],-720
'484870,엠앤씨솔루션,-113,-1735,153109,-99500,[v],-3700
'009270,신원,-9655,-1718,1780,-1303,[v],-16
'307950,현대오토에버,-89,-1711,193018,-376500,[v],-17500
'001040,CJ,-103,-1695,164173,-199000,[v],-7500
'001450,현대해상,-618,-1646,26640,-31150,[v],-300
'000120,CJ대한통운,-188,-1637,87230,-105000,[v],-3200
'008770,호텔신라,-309,-1607,51948,-44950,[v],-2500
'005387,현대차2우B,-96,-1556,162962,-246000,[v],-11000
'011170,롯데케미칼,-244,-1526,62457,-81700,[v],-1000
'259960,크래프톤,-43,-1516,354306,-251500,[v],-3000
'001720,신영증권,-122,-1422,116840,-192900,[v],-13100
'004020,현대제철,-454,-1408,31028,-34500,[v],-500
'195870,해성디에스,-479,-1407,29402,-51100,[v],-3100
'009420,한올바이오파마,-542,-1351,24918,-58200,[v],-5100
'034230,파라다이스,-889,-1323,14890,-16650,[v],-1180
'326030,SK바이오팜,-141,-1288,91321,-97500,[v],-2800
'001200,유진투자증권,-3501,-1271,3630,-4715,[v],-245
'383800,LX홀딩스,-1334,-1260,9447,-8100,[v],-210
'267270,HD건설기계,-163,-1256,76944,-126200,[v],-3900
'003280,흥아해운,-6818,-1249,1831,+3065,[^],+115
