종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'041510,에스엠,+698,+8779,125763,+98000,▲,+900
'108490,로보티즈,+188,+5318,283138,-260500,▼,-6500
'214450,파마리서치,+121,+4809,398068,+327500,▲,+7000
'476830,알지노믹스,+290,+4429,152781,+215000,▲,+1000
'376300,디어유,+775,+3069,39610,+35950,▲,+200
'328130,루닛,+622,+2646,42539,-36800,▼,-2100
'196170,알테오젠,+59,+2601,444091,-354000,▼,-6000
'043260,성호전자,+2510,+2052,8176,+45000,▲,+5000
'388210,씨엠티엑스,+187,+1955,104550,+150100,▲,+100
'277810,레인보우로보틱스,+24,+1207,502429,-668000,▼,-50000
'475830,오름테라퓨틱,+106,+1028,96889,+125300,▲,+400
'240810,원익IPS,+149,+932,62625,+124000,▲,+3100
'488900,비츠로넥스텍,+480,+613,12755,-18960,▼,-660
'0099W0,미래에셋비전스팩11호,+2785,+555,1992,-2015,▼,-5
'458870,씨어스테크놀로지,+38,+461,120365,-184800,▼,-4200
'352480,씨앤씨인터내셔널,+140,+455,32548,+28050,▲,+1250
'123410,코리아에프티,+520,+434,8349,-7250,▼,-80
'000250,삼천당제약,+18,+415,229986,+900000,▲,+105000
'083450,GST,+141,+374,26527,30000,-,0
'290740,액트로,+228,+366,16034,-22100,▼,-600
'234340,헥토파이낸셜,+212,+362,17051,+40000,▲,+1450
'086520,에코프로,+35,+341,97376,-150900,▼,-200
'247540,에코프로비엠,+20,+320,158221,+190100,▲,+400
'131290,티에스이,+52,+315,60456,-121400,▼,-3400
'035900,JYP Ent.,+41,+297,71863,-66800,▼,-100
'005290,동진쎄미켐,+73,+276,37806,+49850,▲,+1300
'0101C0,하나36호스팩,+1391,+275,1977,2010,-,0
'036620,감성코퍼레이션,+434,+265,6101,-5430,▼,-50
'039440,에스티아이,+81,+253,31301,+33700,▲,+550
'348210,넥스틴,+36,+248,69628,-79800,▼,-200
'080220,제주반도체,+118,+231,19577,+44300,▲,+1400
'481070,에이유브랜즈,+88,+192,21795,+18290,▲,+250
'082270,젬백스,+74,+189,25429,-38100,▼,-100
'445680,큐리옥스바이오시스템즈,+16,+164,99817,-122800,▼,-8900
'253450,스튜디오드래곤,+37,+163,43395,+40000,▲,+950
'319660,피에스케이,+42,+148,35143,+85500,▲,+3000
'054540,삼영엠텍,+85,+136,15962,+12340,▲,+510
'064260,다날,+181,+136,7491,+7310,▲,+200
'218410,RFHIC,+37,+126,33624,+81600,▲,+2900
'194700,노바렉스,+84,+122,14472,-13400,▼,-30
'403870,HPSP,+39,+119,30514,-51200,▼,-500
'102710,이엔에프테크놀로지,+24,+112,46622,-55400,▼,-1200
'0093G0,미래에셋비전스팩8호,+532,+106,1993,-2010,▼,-5
'095660,네오위즈,+37,+94,25385,25250,-,0
'355150,코스텍시스,+74,+92,12431,+24050,▲,+100
'053030,바이넥스,+59,+92,15709,+12640,▲,+240
'388610,지에프씨생명과학,+60,+90,14952,+10330,▲,+250
'357780,솔브레인,+3,+90,267243,+430000,▲,+8000
'310210,보로노이,+4,+90,211304,+324500,▲,+4500
'089970,브이엠,+29,+89,30300,-47800,▼,-1000
'308430,셀비온,+39,+89,22521,+30450,▲,+3600
'178320,서진시스템,+33,+83,25388,+48000,▲,+2600
'0099X0,IBKS제25호스팩,+400,+82,2041,2150,-,0
'099190,아이센스,+49,+79,16222,+20550,▲,+250
'0015G0,그린광학,+47,+76,16227,+34450,▲,+400
'041830,인바디,+23,+75,32482,+29650,▲,+1000
'058630,엠게임,+109,+74,6799,+5180,▲,+30
'003380,하림지주,+69,+74,10678,+17700,▲,+2600
'456010,아이씨티케이,+40,+71,17755,+14370,▲,+300
