종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'003490,대한항공,-4953,-11955,24138,+26150,▲,+1600
'034020,두산에너빌리티,-927,-8641,93213,+109600,▲,+3300
'373220,LG에너지솔루션,-168,-6589,391836,+373000,▲,+2000
'452260,한화갤러리아,-24865,-6031,2425,+2670,▲,+55
'307950,현대오토에버,-90,-4451,496669,+429500,▲,+3500
'207940,삼성바이오로직스,-22,-4291,1917214,+1602000,▲,+17000
'064350,현대로템,-149,-3212,215131,-180700,▼,-5600
'005380,현대차,-76,-3194,420491,522000,-,0
'064400,LG씨엔에스,-401,-2866,71431,+66800,▲,+1900
'022100,포스코DX,-690,-2860,41437,+32200,▲,+450
'052690,한전기술,-201,-2495,123826,+175400,▲,+7400
'097230,HJ중공업,-807,-2098,26001,+28450,▲,+650
'012450,한화에어로스페이스,-14,-1880,1305839,-1315000,▼,-60000
'352820,하이브,-54,-1859,341543,-347000,▼,-7500
'066570,LG전자,-194,-1858,95682,+117300,▲,+1100
'012330,현대모비스,-39,-1707,437044,-403500,▼,-9500
'017670,SK텔레콤,-265,-1470,55399,+78300,▲,+100
'082740,한화엔진,-273,-1433,52591,+49000,▲,+450
'007070,GS리테일,-678,-1430,21095,+20500,▲,+550
'000720,현대건설,-142,-1416,99454,-167200,▼,-2300
'009150,삼성전기,-49,-1380,283861,-462000,▼,-17500
'079550,LIG넥스원,-26,-1361,533503,-664000,▼,-38000
'011070,LG이노텍,-47,-1333,283079,+295500,▲,+9500
'071970,HD현대마린엔진,-147,-1331,90547,+79600,▲,+2000
'278470,에이피알,-54,-1292,240986,-361500,▼,-7500
'006400,삼성SDI,-44,-1287,289829,-399500,▼,-3000
'007810,코리아써키트,-193,-1220,63334,+64500,▲,+2400
'055550,신한지주,-149,-1185,79609,-96100,▼,-400
'267260,HD현대일렉트릭,-12,-1045,892085,-957000,▼,-1000
'028260,삼성물산,-31,-888,288890,+299000,▲,+8000
'329180,HD현대중공업,-14,-881,623718,-561000,▼,-6000
'005385,현대차우,-31,-853,273223,-265000,▼,-4000
'003670,포스코퓨처엠,-42,-808,190539,+198900,▲,+900
'000270,기아,-52,-808,155333,-170200,▼,-300
'001430,세아베스틸지주,-117,-797,68089,+65900,▲,+800
'00680K,미래에셋증권2우B,-607,-793,13061,+21600,▲,+1400
'000100,유한양행,-74,-789,106713,+99700,▲,+1000
'402340,SK스퀘어,-17,-753,446872,-604000,▼,-7000
'088980,맥쿼리인프라,-649,-730,11250,+11510,▲,+70
'105560,KB금융,-56,-725,129697,-153800,▼,-1900
'298020,효성티앤씨,-24,-696,289440,-369500,▼,-19000
'009420,한올바이오파마,-138,-695,50340,+55900,▲,+400
'000810,삼성화재,-11,-560,512733,-476000,▼,-2500
'489790,한화비전,-101,-544,53886,-86700,▼,-500
'103140,풍산,-43,-531,122681,-99300,▼,-600
'066970,엘앤에프,-48,-527,110503,+110700,▲,+2400
'042700,한미반도체,-27,-473,177866,+309500,▲,+2500
'180640,한진칼,-35,-463,133327,128000,-,0
'010130,고려아연,-3,-454,1489377,-1605000,▼,-7000
'004310,현대약품,-391,-454,11599,+9460,▲,+260
'096770,SK이노베이션,-42,-452,106570,+113600,▲,+3300
'030200,KT,-82,-442,54217,+60000,▲,+700
'005940,NH투자증권,-176,-397,22608,+35300,▲,+1900
'004370,농심,-9,-390,413413,+377500,▲,+6500
'323410,카카오뱅크,-181,-386,21360,+25000,▲,+350
'439260,대한조선,-52,-360,68928,-91200,▼,-3700
'000240,한국앤컴퍼니,-122,-335,27474,+26800,▲,+200
'090435,아모레퍼시픽우,-72,-321,44357,+49000,▲,+2200
'192820,코스맥스,-16,-307,187057,+197800,▲,+18600
'267270,HD건설기계,-24,-294,120144,+133600,▲,+1900
'009540,HD한국조선해양,-7,-288,429077,-404500,▼,-9000
'241560,두산밥캣,-47,-288,61168,+63300,▲,+1500
'003550,LG,-31,-281,91643,+94500,▲,+4000
'005690,파미셀,-200,-263,13131,+16100,▲,+170
'004830,덕성,-565,-259,4593,+4560,▲,+50
'105840,우진,-106,-237,22335,+31200,▲,+5050
'008770,호텔신라,-46,-214,46588,+44500,▲,+1200
'001120,LX인터내셔널,-57,-209,36935,+47300,▲,+2800
'272210,한화시스템,-25,-204,82083,-135800,▼,-5200
'047050,포스코인터내셔널,-37,-202,55223,+77700,▲,+5900
'483650,달바글로벌,-13,-185,142441,+159000,▲,+4100
'011170,롯데케미칼,-22,-167,76284,+85100,▲,+2700
'051600,한전KPS,-31,-167,54236,+67400,▲,+6000
'003720,삼영,-295,-163,5520,-7160,▼,-50
'244920,에이플러스에셋,-150,-159,10592,+12000,▲,+240
