종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
000070,삼양홀딩스,KOSPI,,67400,-3100,-4.40,-68500,-69500,-67200,13913,+112.69,523200000000,7763000
467930,IBKS제23호스팩,KOSDAQ,,2180,-10,-0.46,-2185,2190,-2180,10720,-53.52,9200000000,4230000
004800,효성,KOSPI,,133200,-6400,-4.58,-134500,-137800,-132300,37771,-95.22,2229800000000,16740000
114090,GKL,KOSPI,,11520,-360,-3.03,-11510,-11620,-11360,224470,-97.04,712600000000,61856000
382900,범한퓨얼셀,KOSDAQ,,27100,-1050,-3.73,-26400,+28450,-26350,30636,+103.94,237400000000,8761000
119850,지엔씨에너지,KOSDAQ,,31700,-1500,-4.52,-31300,-32100,-31250,45893,-67.31,521400000000,16449000
089030,테크윙,KOSDAQ,,48900,-3100,-5.96,-49350,-49800,-48050,686655,-63.08,1811900000000,37054000
011070,LG이노텍,KOSPI,,308000,-12500,-3.90,-304000,-314000,-300500,212428,-45.54,7289500000000,23667000
303360,프로티아,KOSDAQ,,4505,-235,-4.96,-4715,-4715,-4475,41370,+198.32,58000000000,12880000
215200,메가스터디교육,KOSDAQ,,48700,+950,+1.99,-47100,+49200,-46650,33812,-63.75,504800000000,10365000
123410,코리아에프티,KOSDAQ,,7000,-170,-2.37,-7000,-7070,-6800,131951,+111.31,194900000000,27841000
307950,현대오토에버,KOSPI,,375500,-18500,-4.70,-373000,-379500,-369500,38360,-65.17,10297700000000,27424000
399720,가온칩스,KOSDAQ,,61500,-2500,-3.91,-60600,-61500,-59200,67933,-49.19,713400000000,11600000
097230,HJ중공업,KOSPI,,22550,-2000,-8.15,-23000,-23400,-22500,1311753,+117.41,2036200000000,90295000
095340,ISC,KOSDAQ,,247500,-2500,-1.00,-240500,+256000,-231000,209705,+102.42,5246300000000,21197000
077970,STX엔진,KOSPI,,31600,-1900,-5.67,-31650,-32350,-31000,108939,-57.58,1268700000000,40148000
051370,인터플렉스,KOSDAQ,,12560,-740,-5.56,-12840,-12920,-12550,84906,-46.66,293000000000,23327000
080220,제주반도체,KOSDAQ,,37050,-3100,-7.72,-37900,-38000,-36850,834763,-87.08,1276100000000,34443000
089010,켐트로닉스,KOSDAQ,,26900,-1300,-4.61,-27000,-27450,-26600,63926,-87.14,439500000000,16339000
251970,펌텍코리아,KOSDAQ,,46000,-1600,-3.36,-45750,+47650,-45250,48367,+103.19,570400000000,12400000
005440,현대지에프홀딩스,KOSPI,,14060,-300,-2.09,-13870,-14310,-13720,257784,-73.24,2192000000000,155904000
069510,에스텍,KOSDAQ,,14770,-360,-2.38,-15020,-15020,-14530,13719,+152.21,161100000000,10910000
161890,한국콜마,KOSPI,,76600,-3600,-4.49,-78000,+80300,-76000,207451,-42.86,1808100000000,23605000
036570,엔씨소프트,KOSPI,,222000,-8000,-3.48,-222500,-226000,-219500,65740,-66.28,4782800000000,21544000
078520,에이블씨엔씨,KOSPI,,12470,-870,-6.52,-13100,-13100,-12450,131831,-69.98,324400000000,26014000
203400,에이비온,KOSDAQ,,2460,-115,-4.47,-2540,-2540,-2305,861724,-79.88,221600000000,90101000
380540,옵티코어,KOSDAQ,,4225,0,0.00,0,0,0,0,0.00,206700000000,48913000
123420,위메이드플레이,KOSDAQ,,6900,-20,-0.29,-6870,+6930,-6680,14851,+126.40,72800000000,10552000
035250,강원랜드,KOSPI,,17990,-270,-1.48,-17970,-18130,-17900,1033942,+139.60,3848800000000,213941000
000250,삼천당제약,KOSDAQ,,1184000,+73000,+6.57,-1065000,+1233000,-1065000,363164,+182.50,27773600000000,23457000
079960,동양이엔피,KOSDAQ,,27450,-1150,-4.02,-27550,-27750,-27050,21354,-70.26,215800000000,7860000
319660,피에스케이,KOSDAQ,,80000,-2100,-2.56,-77000,+82800,-76100,349126,+105.35,2317300000000,28967000
306200,세아제강,KOSPI,,130100,+900,+0.70,-125100,+134000,-125100,16731,+113.93,369000000000,2836000
081180,쎄크,KOSDAQ,,11340,-420,-3.57,-11120,-11400,-10950,49309,-75.43,100100000000,8826000
397030,에이프릴바이오,KOSDAQ,,58500,-5100,-8.02,-60200,-60750,-58100,174892,+111.14,1365500000000,23343000
139480,이마트,KOSPI,,98000,-2000,-2.00,-97000,-99300,-96500,179425,-60.35,2704400000000,27596000
003030,세아제강지주,KOSPI,,201500,+9900,+5.17,191600,+210500,-187500,57069,+173.06,834500000000,4142000
195940,HK이노엔,KOSDAQ,,50300,-2800,-5.27,-51100,-51200,-50100,93451,-85.33,1425000000000,28330000
