종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'247540,에코프로비엠,+2299,+26900,117013,+190100,▲,+400
'277810,레인보우로보틱스,+604,+20397,337521,-668000,▼,-50000
'086520,에코프로,+2481,+11988,48325,-150900,▼,-200
'035900,JYP Ent.,+1483,+11320,76354,-66800,▼,-100
'141080,리가켐바이오,+626,+9689,154830,+213000,▲,+13100
'028300,HLB,+2107,+8185,38846,+51300,▲,+900
'101490,에스앤에스텍,+1371,+7763,56639,-85700,▼,-200
'000250,삼천당제약,+299,+6087,203345,+900000,▲,+105000
'058470,리노공업,+1009,+5481,54307,-112000,▼,-5100
'014620,성광벤드,+1720,+5415,31480,+37500,▲,+5750
'093520,매커스,+1857,+4613,24843,-24750,▼,-250
'160190,하이젠알앤엠,+862,+4566,52955,-43600,▼,-10100
'102710,이엔에프테크놀로지,+694,+4143,59729,-55400,▼,-1200
'298380,에이비엘바이오,+421,+3851,91384,+190200,▲,+200
'300080,플리토,+2517,+3278,13026,-12270,▼,-260
'347700,스피어,+2778,+3047,10970,-45250,▼,-600
'095340,ISC,+358,+2848,79561,+245000,▲,+500
'041510,에스엠,+213,+2760,129656,+98000,▲,+900
'052400,코나아이,+566,+2712,47910,-57500,▼,-1000
'319660,피에스케이,+791,+2711,34281,+85500,▲,+3000
'272110,케이엔제이,+958,+2687,28039,-36400,▼,-1650
'257720,실리콘투,+571,+2634,46152,+38600,▲,+2100
'131290,티에스이,+477,+2551,53506,-121400,▼,-3400
'310210,보로노이,+152,+2481,163451,+324500,▲,+4500
'328130,루닛,+572,+2310,40360,-36800,▼,-2100
'388720,유일로보틱스,+300,+2277,75792,-100200,▼,-700
'441270,파인엠텍,+2142,+2188,10215,+11360,▲,+710
'086390,유니테스트,+1134,+2112,18626,+19460,▲,+1140
'211050,인카금융서비스,+1631,+2088,12799,+12660,▲,+40
'064760,티씨케이,+114,+2053,180258,+253500,▲,+11000
'018290,브이티,+703,+2009,28564,+15930,▲,+1280
'281740,레이크머티리얼즈,+1476,+1930,13071,+19980,▲,+160
'009520,포스코엠텍,+1374,+1896,13800,-17730,▼,-10
'356860,티엘비,+324,+1800,55541,-77400,▼,-2400
'156100,엘앤케이바이오,+1751,+1647,9408,+9100,▲,+30
'137400,피엔티,+400,+1410,35291,+47750,▲,+1000
'108860,셀바스AI,+1001,+1406,14046,+11040,▲,+340
'452430,사피엔반도체,+447,+1342,30003,-34900,▼,-1150
'032940,원익,+1692,+1333,7879,+10720,▲,+430
'417200,LS머트리얼즈,+1392,+1306,9387,+25300,▲,+1550
'067160,SOOP,+173,+1273,73431,+63100,▲,+500
'114190,강원에너지,+1122,+1260,11228,+13420,▲,+520
'125210,아모그린텍,+1657,+1237,7466,-7240,▼,-10
'065350,신성델타테크,+218,+1227,56207,+63000,▲,+1200
'204270,제이앤티씨,+509,+1227,24093,+18010,▲,+80
'264660,씨앤지하이테크,+704,+1226,17408,+18670,▲,+270
'051980,중앙첨단소재,+5067,+1226,2419,-1569,▼,-44
'101360,에코앤드림,+660,+1217,18429,+17340,▲,+40
'389140,포바이포,+1027,+1137,11081,-8940,▼,-80
'195940,HK이노엔,+248,+1124,45351,+52600,▲,+1200
'348370,엔켐,+156,+1110,70974,-48950,▼,-4150
'036200,유니셈,+1059,+1094,10336,+10180,▲,+130
