종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'005380,현대차,-565,-30674,543097,522000,-,0
'012330,현대모비스,-392,-18010,459567,-403500,▼,-9500
'207940,삼성바이오로직스,-85,-15304,1791350,+1602000,▲,+17000
'457190,이수스페셜티케미컬,-1283,-13223,103058,-91300,▼,-1000
'064350,현대로템,-551,-11480,208227,-180700,▼,-5600
'000990,DB하이텍,-886,-8385,94662,-87400,▼,-500
'034020,두산에너빌리티,-921,-8329,90400,+109600,▲,+3300
'000880,한화,-694,-8007,115320,-121000,▼,-600
'307950,현대오토에버,-162,-7879,484870,+429500,▲,+3500
'012450,한화에어로스페이스,-58,-7447,1283530,-1315000,▼,-60000
'005385,현대차우,-249,-7377,296723,-265000,▼,-4000
'000270,기아,-441,-7252,164255,-170200,▼,-300
'329180,HD현대중공업,-108,-6662,614200,-561000,▼,-6000
'010130,고려아연,-39,-6122,1564018,-1605000,▼,-7000
'009540,HD한국조선해양,-127,-5420,425835,-404500,▼,-9000
'042660,한화오션,-322,-4451,138073,-129500,▼,-500
'267260,HD현대일렉트릭,-46,-4147,896676,-957000,▼,-1000
'010140,삼성중공업,-1239,-3739,30186,+28650,▲,+150
'042700,한미반도체,-196,-3351,171235,+309500,▲,+2500
'000720,현대건설,-293,-3128,106697,-167200,▼,-2300
'079550,LIG넥스원,-50,-2670,533620,-664000,▼,-38000
'082740,한화엔진,-506,-2637,52060,+49000,▲,+450
'006260,LS,-103,-2248,218889,+305000,▲,+14500
'373220,LG에너지솔루션,-56,-2243,397698,+373000,▲,+2000
'272210,한화시스템,-238,-2108,88593,-135800,▼,-5200
'066970,엘앤에프,-176,-2092,118676,+110700,▲,+2400
'489790,한화비전,-393,-2079,52922,-86700,▼,-500
'034730,SK,-67,-1962,291974,+358000,▲,+12000
'028260,삼성물산,-64,-1900,296017,+299000,▲,+8000
'204320,HL만도,-268,-1835,68358,+54000,▲,+1000
'267270,HD건설기계,-149,-1685,113040,+133600,▲,+1900
'352820,하이브,-44,-1630,367789,-347000,▼,-7500
'017960,한국카본,-462,-1608,34838,+49300,▲,+950
'454910,두산로보틱스,-134,-1551,115676,+89800,▲,+600
'005850,에스엘,-236,-1533,65043,-63500,▼,-1000
'062040,산일전기,-100,-1422,142164,+157200,▲,+5500
'003490,대한항공,-578,-1391,24061,+26150,▲,+1600
'001430,세아베스틸지주,-169,-1247,73663,+65900,▲,+800
'024110,기업은행,-546,-1141,20891,+24100,▲,+400
'003160,디아이,-352,-1012,28770,-38300,▼,-150
'003720,삼영,-1799,-987,5485,-7160,▼,-50
'105560,KB금융,-73,-977,134685,-153800,▼,-1900
'003670,포스코퓨처엠,-44,-935,214572,+198900,▲,+900
'267250,HD현대,-37,-912,244672,+263500,▲,+2500
'086790,하나금융지주,-82,-822,99896,-112400,▼,-800
'241560,두산밥캣,-136,-816,59911,+63300,▲,+1500
'071970,HD현대마린엔진,-90,-803,89601,+79600,▲,+2000
'001040,CJ,-42,-773,186143,+207000,▲,+10000
'271560,오리온,-66,-758,115536,+135200,▲,+4600
'259960,크래프톤,-32,-754,237635,+236000,▲,+4000
'138930,BNK금융지주,-431,-664,15406,+18800,▲,+320
'052690,한전기술,-48,-658,137598,+175400,▲,+7400
'022100,포스코DX,-155,-630,40517,+32200,▲,+450
'103140,풍산,-53,-624,118786,-99300,▼,-600
'011780,금호석유화학,-41,-596,145114,-131700,▼,-2500
'030200,KT,-105,-580,55079,+60000,▲,+700
'450080,에코프로머티,-93,-576,61833,+62500,▲,+1800
'395400,SK리츠,-897,-502,5598,+6310,▲,+200
'003550,LG,-52,-466,88955,+94500,▲,+4000
'021240,코웨이,-60,-456,76290,+74400,▲,+1400
'077970,STX엔진,-119,-452,37988,+34400,▲,+300
'011070,LG이노텍,-15,-429,280046,+295500,▲,+9500
'000810,삼성화재,-9,-429,491653,-476000,▼,-2500
'280360,롯데웰푸드,-37,-419,111947,+112800,▲,+1600
'322000,HD현대에너지솔루션,-76,-412,54487,-131000,▼,-5300
'194370,제이에스코퍼레이션,-348,-392,11274,+12140,▲,+280
'003570,SNT다이내믹스,-76,-378,50005,-47700,▼,-350
'453340,현대그린푸드,-251,-375,14985,+15900,▲,+30
'033780,KT&G,-25,-363,144066,-156200,▼,-800
'032350,롯데관광개발,-152,-361,23818,+21550,▲,+600
'064400,LG씨엔에스,-53,-359,68299,+66800,▲,+1900
'002350,넥센타이어,-411,-349,8478,+7640,▲,+410
'031210,서울보증보험,-67,-333,49477,-56300,▼,-200
'008770,호텔신라,-73,-332,45682,+44500,▲,+1200
'018670,SK가스,-14,-328,227209,+266500,▲,+17500
'009970,영원무역홀딩스,-17,-325,194544,-221000,▼,-500
'089860,롯데렌탈,-106,-321,30345,+32000,▲,+350
