종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'005930,삼성전자,+1447,+16093,111225,-199800,▼,-700
'005380,현대차,+550,+16091,292479,522000,-,0
'012330,현대모비스,+406,+14968,368366,-403500,▼,-9500
'489790,한화비전,+2494,+10964,43955,-86700,▼,-500
'003490,대한항공,+3860,+8906,23074,+26150,▲,+1600
'352820,하이브,+223,+7203,323169,-347000,▼,-7500
'272210,한화시스템,+1107,+6404,57847,-135800,▼,-5200
'032830,삼성생명,+368,+5993,163010,-226500,▼,-4000
'271560,오리온,+542,+5846,107818,+135200,▲,+4600
'036570,엔씨소프트,+190,+3967,208420,+226000,▲,+5000
'004020,현대제철,+1215,+3899,32095,+37100,▲,+1250
'128940,한미약품,+74,+3288,442949,+555000,▲,+36000
'064350,현대로템,+174,+3217,185280,-180700,▼,-5600
'051910,LG화학,+92,+3162,343726,+308000,▲,+4500
'005935,삼성전자우,+363,+3112,85701,-139200,▼,-5000
'010060,OCI홀딩스,+247,+2992,121306,+205000,▲,+6800
'017800,현대엘리베이터,+328,+2978,90805,+88400,▲,+1000
'329180,HD현대중공업,+55,+2910,525136,-561000,▼,-6000
'039490,키움증권,+94,+2816,300250,+464000,▲,+15000
'082740,한화엔진,+580,+2724,46998,+49000,▲,+450
'009150,삼성전기,+103,+2628,254232,-462000,▼,-17500
'204320,HL만도,+463,+2515,54322,+54000,▲,+1000
'003230,삼양식품,+18,+2331,1265686,+1147000,▲,+47000
'047810,한국항공우주,+185,+2103,113643,-186200,▼,-4200
'105560,KB금융,+152,+1915,126166,-153800,▼,-1900
'443060,HD현대마린솔루션,+96,+1893,196772,+181500,▲,+3300
'035720,카카오,+298,+1757,58889,+50300,▲,+300
'079550,LIG넥스원,+42,+1731,416215,-664000,▼,-38000
'175330,JB금융지주,+625,+1645,26311,30200,-,0
'006260,LS,+68,+1312,193611,+305000,▲,+14500
'112610,씨에스윈드,+295,+1286,43514,+65900,▲,+1000
'139480,이마트,+143,+1221,85602,+100200,▲,+5800
'001450,현대해상,+388,+1207,31096,+31300,▲,+1000
'439260,대한조선,+166,+1203,72317,-91200,▼,-3700
'278470,에이피알,+49,+1148,233419,-361500,▼,-7500
'023530,롯데쇼핑,+151,+1142,75858,+113100,▲,+5600
'000720,현대건설,+158,+1111,70396,-167200,▼,-2300
'005830,DB손해보험,+84,+1090,130249,+185300,▲,+800
'004170,신세계,+41,+1051,255070,+339500,▲,+4000
'006800,미래에셋증권,+450,+1044,23199,+67900,▲,+1200
'120110,코오롱인더,+225,+1042,46259,-69900,▼,-600
'457190,이수스페셜티케미컬,+177,+990,55864,-91300,▼,-1000
'014680,한솔케미칼,+42,+950,223674,+290000,▲,+6500
'004490,세방전지,+141,+937,66465,+61200,▲,+800
'475150,SK이터닉스,+429,+933,21755,+58600,▲,+4900
'088350,한화생명,+2744,+928,3382,+5230,▲,+300
'033530,SJG세종,+741,+874,11799,-8180,▼,-50
'298020,효성티앤씨,+36,+855,239019,-369500,▼,-19000
'007810,코리아써키트,+208,+794,38121,+64500,▲,+2400
'316140,우리금융지주,+266,+754,28320,+33800,▲,+200
'100090,SK오션플랜트,+374,+750,20036,+25550,-,+5870
'069260,TKG휴켐스,+375,+738,19663,-18720,▼,-60
'026960,동서,+252,+737,29281,+26300,▲,+650
'097230,HJ중공업,+326,+730,22410,+28450,▲,+650
'267270,HD건설기계,+75,+710,94881,+133600,▲,+1900
'012750,에스원,+87,+693,79485,-87600,▼,-200
'028670,팬오션,+1697,+669,3943,+5330,▲,+280
'005387,현대차2우B,+30,+642,211757,-264500,▼,-6000
'011780,금호석유화학,+49,+616,125421,-131700,▼,-2500
'000880,한화,+72,+605,84560,-121000,▼,-600
'073240,금호타이어,+800,+490,6122,+6190,▲,+160
'383220,F&F,+60,+447,74887,+62100,▲,+2000
'005850,에스엘,+102,+443,43360,-63500,▼,-1000
'071970,HD현대마린엔진,+46,+440,94822,+79600,▲,+2000
'011170,롯데케미칼,+58,+430,74378,+85100,▲,+2700
'200880,서연이화,+312,+405,12997,+14220,▲,+610
