종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비
'373220,LG에너지솔루션,+1050,+39240,373604,+373000,▲,+2000
'035420,NAVER,+1583,+37143,234588,+221000,▲,+500
'272210,한화시스템,+6636,+35468,53448,-135800,▼,-5200
'010140,삼성중공업,+13190,+32647,24751,+28650,▲,+150
'039490,키움증권,+863,+25182,291741,+464000,▲,+15000
'000150,두산,+301,+22414,745073,+1169000,▲,+20000
'034020,두산에너빌리티,+2674,+20539,76812,+109600,▲,+3300
'003490,대한항공,+8864,+19945,22500,+26150,▲,+1600
'066970,엘앤에프,+1702,+17729,104141,+110700,▲,+2400
'298040,효성중공업,+94,+17375,1841199,+2719000,▲,+26000
'071050,한국금융지주,+918,+14706,160136,+233500,▲,+4500
'006800,미래에셋증권,+6394,+14555,22762,+67900,▲,+1200
'015760,한국전력,+2937,+14429,49137,+49050,▲,+750
'079550,LIG넥스원,+349,+14156,405906,-664000,▼,-38000
'035720,카카오,+2386,+13866,58110,+50300,▲,+300
'006400,삼성SDI,+505,+13413,265583,-399500,▼,-3000
'042660,한화오션,+1133,+12210,107795,-129500,▼,-500
'00680K,미래에셋증권2우B,+10668,+11457,10740,+21600,▲,+1400
'064350,현대로템,+634,+11438,180548,-180700,▼,-5600
'068270,셀트리온,+499,+9183,184169,-201000,▼,-1000
'028260,삼성물산,+358,+8832,246372,+299000,▲,+8000
'005940,NH투자증권,+4163,+8737,20986,+35300,▲,+1900
'005387,현대차2우B,+403,+8300,205776,-264500,▼,-6000
'267250,HD현대,+428,+8288,193816,+263500,▲,+2500
'000100,유한양행,+673,+7824,116271,+99700,▲,+1000
'082740,한화엔진,+1599,+6723,42032,+49000,▲,+450
'267260,HD현대일렉트릭,+80,+6514,811895,-957000,▼,-1000
'066570,LG전자,+685,+6411,93630,+117300,▲,+1100
'071970,HD현대마린엔진,+757,+6393,84448,+79600,▲,+2000
'323410,카카오뱅크,+2898,+6244,21549,+25000,▲,+350
'329180,HD현대중공업,+109,+5614,513330,-561000,▼,-6000
'010130,고려아연,+43,+5597,1304306,-1605000,▼,-7000
'004170,신세계,+213,+5333,250814,+339500,▲,+4000
'326030,SK바이오팜,+408,+5248,128596,+98300,▲,+800
'017670,SK텔레콤,+958,+5114,53372,+78300,▲,+100
'005935,삼성전자우,+559,+4708,84233,-139200,▼,-5000
'018260,삼성에스디에스,+275,+4664,169340,+162000,▲,+500
'051910,LG화학,+128,+4115,321786,+308000,▲,+4500
'078930,GS,+730,+4030,55212,+69200,▲,+3800
'322000,HD현대에너지솔루션,+635,+3981,62695,-131000,▼,-5300
'000155,두산우,+82,+3975,483008,+512000,▲,+11000
'006260,LS,+205,+3833,186978,+305000,▲,+14500
'000520,삼일제약,+3367,+3777,11217,+10050,▲,+170
'352820,하이브,+111,+3584,322985,-347000,▼,-7500
'005385,현대차우,+175,+3539,201710,-265000,▼,-4000
'086790,하나금융지주,+379,+3538,93221,-112400,▼,-800
'100840,SNT에너지,+827,+3209,38786,+53800,▲,+12250
'005690,파미셀,+2097,+3119,14877,+16100,▲,+170
'000270,기아,+242,+2931,121003,-170200,▼,-300
'051900,LG생활건강,+107,+2808,262542,+253500,▲,+10500
'055550,신한지주,+356,+2746,77183,-96100,▼,-400
'032830,삼성생명,+176,+2716,154464,-226500,▼,-4000
'009540,HD한국조선해양,+61,+2572,422626,-404500,▼,-9000
'377300,카카오페이,+560,+2514,44855,+63700,▲,+3500
'443060,HD현대마린솔루션,+129,+2495,193898,+181500,▲,+3300
'069620,대웅제약,+134,+2422,181221,+160400,▲,+400
'011780,금호석유화학,+192,+2394,124621,-131700,▼,-2500
'010060,OCI홀딩스,+207,+2277,109915,+205000,▲,+6800
'088980,맥쿼리인프라,+1879,+2191,11659,+11510,▲,+70
'086280,현대글로비스,+123,+2169,176832,-230000,▼,-500
'003530,한화투자증권,+4609,+2146,4655,+7920,▲,+540
'033780,KT&G,+149,+2144,144339,-156200,▼,-800
'336260,두산퓨얼셀,+681,+2042,29985,-42900,▼,-3000
'499790,GS피앤엘,+455,+1973,43330,-48450,▼,-1300
'075580,세진중공업,+1081,+1893,17516,+17980,▲,+1040
'035250,강원랜드,+1020,+1889,18516,+18180,▲,+330
'009450,경동나비엔,+310,+1734,55941,-66500,▼,-300
'028670,팬오션,+4435,+1725,3889,+5330,▲,+280
'084670,동양고속,+149,+1715,114939,-43950,▼,-350
'194370,제이에스코퍼레이션,+1158,+1682,14523,+12140,▲,+280
'020150,롯데에너지머티리얼즈,+527,+1656,31443,+40800,▲,+3250
'090430,아모레퍼시픽,+136,+1649,121355,+140000,▲,+5300
'004020,현대제철,+532,+1615,30349,+37100,▲,+1250
'103140,풍산,+158,+1607,101588,-99300,▼,-600
'001060,JW중외제약,+529,+1511,28576,+31750,▲,+750
'031210,서울보증보험,+299,+1509,50506,-56300,▼,-200
'139130,iM금융지주,+1019,+1498,14699,+17310,▲,+510
'001450,현대해상,+450,+1404,31193,+31300,▲,+1000
'051915,LG화학우,+81,+1363,168532,+156800,▲,+3500
'009830,한화솔루션,+489,+1333,27288,+52200,▲,+2450
'192820,코스맥스,+78,+1310,168566,+197800,▲,+18600
'161390,한국타이어앤테크놀로지,+211,+1272,60217,+57500,▲,+500
'009420,한올바이오파마,+286,+1227,42916,+55900,▲,+400
