종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'005930,삼성전자,-1525,-16462,107939,-199800,▼,-700
'373220,LG에너지솔루션,-245,-10761,439516,+373000,▲,+2000
'035420,NAVER,-402,-9831,244619,+221000,▲,+500
'051910,LG화학,-233,-8754,375139,+308000,▲,+4500
'000150,두산,-88,-7748,877904,+1169000,▲,+20000
'086790,하나금융지주,-641,-5892,91953,-112400,▼,-800
'005490,POSCO홀딩스,-175,-5471,313505,+343000,▲,+5000
'036570,엔씨소프트,-254,-5093,200251,+226000,▲,+5000
'005380,현대차,-166,-4999,301247,522000,-,0
'298040,효성중공업,-25,-4815,1931380,+2719000,▲,+26000
'066970,엘앤에프,-345,-4418,127939,+110700,▲,+2400
'329180,HD현대중공업,-68,-3858,568746,-561000,▼,-6000
'055550,신한지주,-460,-3571,77568,-96100,▼,-400
'015760,한국전력,-712,-3540,49697,+49050,▲,+750
'204320,HL만도,-628,-3460,55066,+54000,▲,+1000
'105560,KB금융,-262,-3260,124503,-153800,▼,-1900
'035720,카카오,-494,-2929,59337,+50300,▲,+300
'353200,대덕전자,-560,-2772,49500,+82800,▲,+5500
'071050,한국금융지주,-158,-2543,160487,+233500,▲,+4500
'030000,제일기획,-1080,-2461,22776,+21300,▲,+350
'096770,SK이노베이션,-208,-2419,116214,+113600,▲,+3300
'064350,현대로템,-124,-2342,188386,-180700,▼,-5600
'047050,포스코인터내셔널,-361,-1960,54335,+77700,▲,+5900
'251270,넷마블,-390,-1927,49356,+51800,▲,+800
'307950,현대오토에버,-62,-1857,297667,+429500,▲,+3500
'316140,우리금융지주,-628,-1735,27627,+33800,▲,+200
'267260,HD현대일렉트릭,-19,-1628,847221,-957000,▼,-1000
'001440,대한전선,-713,-1604,22480,+30700,▲,+600
'012450,한화에어로스페이스,-16,-1413,907088,-1315000,▼,-60000
'034730,SK,-49,-1313,266942,+358000,▲,+12000
'033270,유나이티드제약,-653,-1272,19463,+20150,▲,+340
'003670,포스코퓨처엠,-59,-1230,207478,+198900,▲,+900
'009290,광동제약,-2043,-1209,5917,+9230,▲,+270
'457190,이수스페셜티케미컬,-180,-1194,66417,-91300,▼,-1000
'207940,삼성바이오로직스,-7,-1177,1655624,+1602000,▲,+17000
'039490,키움증권,-41,-1160,282248,+464000,▲,+15000
'0126Z0,삼성에피스홀딩스,-20,-1110,562743,+547000,▲,+15000
'034020,두산에너빌리티,-144,-1106,76898,+109600,▲,+3300
'336260,두산퓨얼셀,-354,-1077,30399,-42900,▼,-3000
'012510,더존비즈온,-116,-1072,92625,+119300,▲,+200
'006800,미래에셋증권,-463,-994,21452,+67900,▲,+1200
'009540,HD한국조선해양,-22,-988,441519,-404500,▼,-9000
'006400,삼성SDI,-30,-805,270278,-399500,▼,-3000
'068270,셀트리온,-42,-787,185770,-201000,▼,-1000
'060980,HL홀딩스,-156,-758,48563,+46300,▲,+1500
'450080,에코프로머티,-120,-754,62762,+62500,▲,+1800
'005385,현대차우,-34,-696,206032,-265000,▼,-4000
'017800,현대엘리베이터,-74,-691,93090,+88400,▲,+1000
'032830,삼성생명,-44,-682,154815,-226500,▼,-4000
'021240,코웨이,-80,-678,84209,+74400,▲,+1400
'011790,SKC,-55,-627,113833,+99300,▲,+200
'033780,KT&G,-44,-619,141675,-156200,▼,-800
'336370,솔루스첨단소재,-744,-608,8169,+8800,▲,+620
'005940,NH투자증권,-287,-598,20816,+35300,▲,+1900
'139130,iM금융지주,-413,-591,14300,+17310,▲,+510
'066570,LG전자,-59,-562,94589,+117300,▲,+1100
'078930,GS,-99,-561,56474,+69200,▲,+3800
'267250,HD현대,-26,-541,207525,+263500,▲,+2500
'161390,한국타이어앤테크놀로지,-89,-538,60263,+57500,▲,+500
'484870,엠앤씨솔루션,-39,-534,137120,-113600,▼,-3500
'139480,이마트,-65,-531,81143,+100200,▲,+5800
'000810,삼성화재,-11,-519,491687,-476000,▼,-2500
'285130,SK케미칼,-74,-515,69672,+59100,▲,+2000
'018260,삼성에스디에스,-29,-505,173329,+162000,▲,+500
'009970,영원무역홀딩스,-25,-479,193490,-221000,▼,-500
'071320,지역난방공사,-41,-446,107923,+92600,▲,+2900
'003490,대한항공,-187,-416,22211,+26150,▲,+1600
'195870,해성디에스,-77,-411,53356,+58500,▲,+2500
'259960,크래프톤,-14,-353,246627,+236000,▲,+4000
'005690,파미셀,-209,-345,16522,+16100,▲,+170
'383220,F&F,-45,-324,71887,+62100,▲,+2000
'042700,한미반도체,-26,-313,120791,+309500,▲,+2500
'005935,삼성전자우,-38,-309,80842,-139200,▼,-5000
'028670,팬오션,-776,-309,3984,+5330,▲,+280
'361610,SK아이이테크놀로지,-103,-305,29634,+22100,▲,+350
'018670,SK가스,-13,-303,237175,+266500,▲,+17500
'005070,코스모신소재,-59,-301,50903,+49750,▲,+900
