종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비
'214450,파마리서치,-50,-3358,678153,-304500,[v],-9000
'196170,알테오젠,-74,-3237,435010,-354000,[v],-27000
'476040,오가노이드사이언스,-812,-2423,29852,-23800,[v],-1700
'083650,비에이치아이,-385,-1717,44573,+95100,[^],+300
'376900,로킷헬스케어,-972,-1446,14878,+129700,[^],+5700
'131970,두산테스나,-401,-1405,35017,-102900,[v],-5400
'277810,레인보우로보틱스,-40,-1093,272067,-544000,[v],-23000
'086900,메디톡스,-76,-930,122483,-101200,[v],-2400
'459510,나우로보틱스,-615,-896,14565,-18760,[v],-770
'463020,뉴엔AI,-332,-834,25112,-11840,[v],-490
'214430,아이쓰리시스템,-81,-753,92692,-91000,[v],-2300
'241710,코스메카코리아,-119,-720,60509,-81900,[v],-2700
'247540,에코프로비엠,-44,-596,135449,+205000,[^],+2500
'058970,엠로,-127,-588,46355,-27800,[v],-800
'122640,예스티,-318,-568,17874,-20100,[v],-700
'028300,HLB,-132,-546,41341,+53500,[^],+200
'475830,오름테라퓨틱,-220,-524,23849,-94900,[v],-17500
'352480,씨앤씨인터내셔널,-131,-520,39855,-26300,[v],-600
'086520,에코프로,-89,-509,57005,-147500,[v],-1500
'214150,클래시스,-76,-436,57700,-52900,[v],-1100
'082920,비츠로셀,-127,-420,32975,+38050,[^],+3300
'272290,이녹스첨단소재,-158,-395,24974,-30250,[v],-1950
'030520,한글과컴퓨터,-145,-374,25759,-19740,[v],-710
'044490,태웅,-85,-366,43043,+47550,[^],+600
'136150,원일티엔아이,-167,-361,21611,-17730,[v],-440
'206650,유바이오로직스,-273,-345,12634,-13750,[v],-490
'083450,GST,-169,-336,19887,-25900,[v],-1150
'064260,다날,-419,-325,7748,-6180,[v],-250
'285490,노바텍,-140,-294,21000,-20950,[v],-100
'033100,제룡전기,-72,-289,40153,-45600,[v],-1450
'348370,엔켐,-32,-272,85757,-40950,[v],-1750
'098120,마이크로컨텍솔,-105,-237,22607,+27400,[^],+150
'078340,컴투스,-60,-235,39333,-32650,[v],-350
'160190,하이젠알앤엠,-71,-232,32448,-35800,[v],-2000
'023160,태광,-81,-209,25780,-34500,[v],-150
'042000,카페24,-48,-185,38507,-26950,[v],-850
'122870,와이지엔터테인먼트,-16,-170,105375,-53900,[v],-2300
'215360,우리산업,-184,-162,8787,-8470,[v],-120
'218410,RFHIC,-62,-161,26168,-81000,[v],-1400
'084110,휴온스글로벌,-33,-159,48725,-68000,[v],-2400
'319660,피에스케이,-74,-155,20967,-80300,[v],-1800
'194480,데브시스터즈,-32,-152,48094,-29250,[v],-3350
'039030,이오테크닉스,-7,-149,229146,-391000,[v],-26000
'448280,에코아이,-105,-149,14240,-11560,[v],-360
'052400,코나아이,-27,-142,53270,-53500,[v],-2700
'036930,주성엔지니어링,-50,-141,28241,-64200,[v],-5800
'086670,비엠티,-130,-141,10818,-14600,[v],-890
'310210,보로노이,-12,-138,118303,+318500,[^],+5000
'032820,우리기술,-378,-138,3645,-21600,[v],-1800
'348210,넥스틴,-29,-138,47631,-69200,[v],-3800
'096530,씨젠,-48,-131,27144,-22500,[v],-850
'226950,올릭스,-25,-127,50095,-187000,[v],-13500
'054950,제이브이엠,-45,-124,27419,-24200,[v],-650
'347850,디앤디파마텍,-9,-124,132142,-71300,[v],-6300
'389650,넥스트바이오메디컬,-23,-122,53400,-75900,[v],-3400
'141080,리가켐바이오,-8,-117,145683,-198700,[v],-14800
'000250,삼천당제약,-6,-106,183446,+1150000,[^],+39000
'101160,월덱스,-42,-102,24303,-29850,[v],-150
'419120,산돌,-127,-102,8080,-4095,[v],-15
'293490,카카오게임즈,-59,-98,16704,-12260,[v],-940
'036830,솔브레인홀딩스,-21,-98,46522,-47600,[v],-1250
'309710,아이티켐,-33,-97,29070,-26400,[v],-2650
'170920,엘티씨,-81,-94,11538,-31900,[v],-2050
'440110,파두,-77,-88,11413,-49900,[v],-2500
'090850,현대이지웰,-127,-86,6749,-6140,[v],-120
'059210,메타바이오메드,-148,-85,5715,-4305,[v],-190
'397030,에이프릴바이오,-40,-82,20361,-58600,[v],-5000
'068760,셀트리온제약,-15,-81,52422,-56800,[v],-1700
'255220,SG,-340,-77,2252,-2660,[v],-45
'092730,네오팜,-43,-76,17736,-17010,[v],-610
'082270,젬백스,-15,-76,52588,-40950,[v],-100
'407400,꿈비,-100,-71,7060,-4040,[v],-90
'305090,마이크로디지탈,-68,-70,10298,-6150,[v],-300
'098460,고영,-45,-70,15490,-26050,[v],-1250
'403870,HPSP,-26,-68,26229,-42900,[v],-2250
'308100,형지글로벌,-278,-66,2361,-937,[v],-8
'356860,티엘비,-25,-65,26109,-67200,[v],-5900
'137400,피엔티,-17,-61,36570,-49900,[v],-800
'328130,루닛,-13,-56,44432,-34100,[v],-500
'263750,펄어비스,-13,-52,38819,+69200,[^],+10400
'014940,오리엔탈정공,-65,-50,7629,-6330,[v],-240
'080220,제주반도체,-32,-48,14760,-37050,[v],-3100
'200670,휴메딕스,-8,-47,61190,-34700,[v],-1100
'108380,대양전기공업,-18,-47,26162,-25400,[v],-850
'382900,범한퓨얼셀,-26,-46,18037,-27100,[v],-1050
'041960,코미팜,-79,-45,5689,-8630,[v],-220
'465320,교보15호스팩,-200,-44,2212,2335,-,0
'281740,레이크머티리얼즈,-34,-44,12953,-19720,[v],-780
'140860,파크시스템스,-2,-42,252071,-243500,[v],-12000
'123410,코리아에프티,-80,-42,5197,-7000,[v],-170
'065350,신성델타테크,-6,-40,67268,-55600,[v],-2400
'114810,한솔아이원스,-45,-39,8607,-13590,[v],-410
'448900,한국피아이엠,-30,-39,12895,-106800,[v],-14200
'319400,현대무벡스,-79,-39,4900,-25100,[v],-700
'038390,레드캡투어,-32,-38,12067,-10230,[v],-230
'141000,비아트론,-43,-38,8640,-10140,[v],-30
'340570,티앤엘,-6,-37,58338,-49800,[v],-2600
'198080,캐프,-148,-37,2521,-2690,[v],-45
'033500,동성화인텍,-14,-37,27108,-22050,[v],-1250
'053700,삼보모터스,-85,-37,4346,-5910,[v],-170
