종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'007390,네이처셀,"-965","-1,724","17,864","17,720",▼,"-720","-144","-0.80%","586,784"
'251270,넷마블,"-327","-1,670","51,049","51,000",▼,"-2,700","-49","-0.09%","307,565"
'357780,솔브레인,"-38","-1,607","423,110","422,000",▼,"-18,000","-1,110","-0.26%","50,170"
'087010,펩트론,"-50","-1,598","319,646","317,500",▼,"-10,500","-2,146","-0.67%","185,941"
'047050,포스코인터내셔널,"-222","-1,597","71,904","71,800",▲,"200","-104","-0.14%","881,980"
'458870,씨어스테크놀로지,"-85","-1,586","186,859","189,000",▲,"3,900","2,141","+1.14%","78,851"
'071050,한국금융지주,"-68","-1,573","229,749","229,000",▼,"-12,000","-749","-0.32%","218,487"
'0127M0,ACE 미국대형가치주액티브,"-1,406","-1,544","10,980","11,050",▲,"5","70","+0.63%","149,935"
'240810,원익IPS,"-126","-1,534","121,502","120,900",▼,"-3,600","-602","-0.49%","440,750"
'018880,한온시스템,"-3,718","-1,525","4,101","4,110",▼,"-290","9","+0.21%","13,519,785"
'064760,티씨케이,"-64","-1,487","233,959","242,500",▲,"6,500","8,541","+3.65%","76,212"
'000990,DB하이텍,"-166","-1,462","87,985","87,900", ,"0","-85","-0.09%","333,706"
'101490,에스앤에스텍,"-169","-1,445","85,686","85,900",▼,"-2,900","214","+0.24%","205,316"
'287840,인투셀,"-296","-1,409","47,526","47,600",▼,"-1,800","74","+0.15%","98,524"
'005300,롯데칠성,"-120","-1,409","116,995","117,100",▼,"-4,200","105","+0.08%","42,927"
'485810,TIME 글로벌바이오액티브,"-1,379","-1,403","10,170","10,165",▼,"-195","-5","-0.04%","148,665"
'166090,하나머티리얼즈,"-233","-1,384","59,473","59,100",▼,"-2,100","-373","-0.62%","119,626"
'105190,ACE 200,"-148","-1,356","91,583","87,170",▼,"-2,720","-4,413","-4.81%","640,773"
'105560,KB금융,"-86","-1,336","156,204","155,700",▲,"1,000","-504","-0.32%","947,774"
'006800,미래에셋증권,"-195","-1,318","67,418","66,700",▼,"-3,200","-718","-1.06%","2,521,922"
'017800,현대엘리베이터,"-150","-1,309","87,492","87,400",▼,"-1,100","-92","-0.10%","180,685"
'067310,하나마이크론,"-388","-1,305","33,652","33,500",▼,"-550","-152","-0.45%","1,609,435"
'018260,삼성에스디에스,"-80","-1,298","161,557","161,500",▼,"-5,600","-57","-0.03%","161,856"
'003670,포스코퓨처엠,"-64","-1,275","198,971","198,000",▼,"-2,500","-971","-0.48%","298,252"
'001450,현대해상,"-398","-1,210","30,410","30,300",▼,"-1,300","-110","-0.36%","361,923"
'033500,동성화인텍,"-460","-1,203","26,150","26,250",▼,"-800","100","+0.38%","321,355"
'278620,PLUS 단기채권액티브,"-100","-1,178","117,813","117,810",▼,"-20","-3","0%","10,334"
'010170,대한광통신,"-1,597","-1,160","7,262","7,390",▲,"360","128","+1.76%","24,561,865"
'180640,한진칼,"-88","-1,126","127,411","128,000",▲,"5,900","589","+0.46%","285,687"
'214430,아이쓰리시스템,"-114","-1,106","96,909","96,400",▼,"-5,300","-509","-0.52%","63,765"
'214370,케어젠,"-99","-1,089","110,068","110,000",▼,"-3,800","-68","-0.06%","76,158"
'009470,삼화전기,"-272","-1,071","39,390","39,300",▼,"-1,800","-90","-0.22%","106,203"
'033780,KT&G,"-67","-1,042","156,636","157,000",▼,"-1,700","364","+0.23%","214,761"
'016360,삼성증권,"-103","-1,026","99,161","98,600",▼,"-2,900","-561","-0.56%","413,300"
'031980,피에스케이홀딩스,"-95","-1,025","107,594","106,800",▼,"-1,400","-794","-0.73%","129,949"
'015750,성우하이텍,"-1,111","-1,022","9,201","9,200",▼,"-410","-1","-0.01%","1,392,472"
'432320,KB스타리츠,"-4,001","-1,013","2,532","2,555",▼,"-25","23","+0.90%","628,071"
'001040,CJ,"-53","-1,008","191,255","197,000",▼,"-3,000","5,745","+3.00%","162,506"
'393890,더블유씨피,"-641","-972","15,164","15,100",▲,"290","-64","-0.42%","4,512,418"
'114100,RISE 국고채3년,"-90","-965","107,293","107,270",▼,"-270","-23","-0.02%","11,786"
'214450,파마리서치,"-30","-945","317,641","320,500",▼,"-500","2,859","+0.90%","48,831"
