종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'388210,씨엠티엑스,"+55","+801","146,473","150,000",▲,"13,200","3,527","+2.40%","263,761"
'298380,에이비엘바이오,"+41","+785","191,033","190,000",▼,"-5,500","-1,033","-0.54%","349,456"
'499790,GS피앤엘,"+151","+765","50,675","49,750",▼,"-650","-925","-1.82%","87,905"
'0086B0,TIGER 리츠부동산인프라TOP10액티브,"+700","+764","10,914","10,930",▲,"5","16","+0.14%","79,341"
'006360,GS건설,"+288","+756","26,280","25,950",▲,"300","-330","-1.25%","3,366,921"
'355150,코스텍시스,"+298","+706","23,656","23,950",▲,"2,250","294","+1.24%","412,634"
'126700,하이비젼시스템,"+359","+668","18,630","18,400",▼,"-620","-230","-1.23%","146,767"
'395270,HANARO Fn K-반도체,"+182","+654","35,964","35,915",▼,"-485","-49","-0.13%","7,618,497"
'160980,싸이맥스,"+274","+654","23,886","23,950",▼,"-50","64","+0.26%","383,946"
'251340,KODEX 코스닥150선물인버스,"+3,155","+646","2,047","2,050",▲,"50","3","+0.14%","40,121,235"
'215200,메가스터디교육,"+139","+643","46,124","45,950",▼,"-450","-174","-0.37%","56,576"
'457190,이수스페셜티케미컬,"+66","+605","92,300","92,300",▼,"-2,900","0","0%","168,386"
'090460,비에이치,"+297","+585","19,711","19,880",▲,"380","169","+0.85%","475,772"
'204620,글로벌텍스프리,"+1,287","+570","4,432","4,460",▲,"60","28","+0.63%","597,828"
'083650,비에이치아이,"+52","+547","104,538","104,300",▼,"-1,300","-238","-0.22%","287,205"
'078520,에이블씨엔씨,"+402","+522","12,976","12,820",▲,"200","-156","-1.20%","372,485"
'032500,케이엠더블유,"+169","+501","29,592","29,200",▲,"350","-392","-1.32%","701,151"
'003545,대신증권우,"+185","+501","27,025","27,100",▲,"50","75","+0.27%","69,117"
'389650,넥스트바이오메디컬,"+62","+474","76,478","76,000",▲,"400","-478","-0.62%","95,062"
'007810,코리아써키트,"+72","+451","62,435","62,100",▲,"1,900","-335","-0.53%","615,448"
'015760,한국전력,"+91","+449","49,199","48,300",▼,"-1,650","-899","-1.82%","1,725,030"
'111770,영원무역,"+54","+443","81,347","81,300",▼,"-6,500","-47","-0.05%","113,229"
'053690,한미글로벌,"+190","+436","22,951","23,150",▲,"1,950","199","+0.86%","1,980,947"
'338840,와이바이오로직스,"+116","+410","35,195","35,600",▲,"700","405","+1.15%","290,092"
'006730,서부T&D,"+267","+402","15,022","14,840",▼,"-220","-182","-1.21%","633,620"
'488080,TIGER 반도체TOP10레버리지,"+86","+398","46,037","46,030",▼,"-2,205","-7","-0.01%","6,507,276"
'010955,S-Oil우,"+69","+392","56,460","56,900",▲,"1,400","440","+0.77%","26,856"
'315960,RISE 대형고배당10TR,"+65","+391","60,292","60,040",▼,"-1,980","-252","-0.41%","434,471"
'000500,가온전선,"+35","+387","111,938","111,200",▲,"1,500","-738","-0.65%","64,989"
'0101N0,RISE AI전력인프라,"+222","+383","17,217","17,180",▲,"140","-37","-0.21%","678,488"
'375500,DL이앤씨,"+69","+360","52,028","51,900",▲,"300","-128","-0.24%","613,195"
'039490,키움증권,"+8","+351","451,612","449,000",▼,"-20,000","-2,612","-0.57%","101,615"
'0004V0,엔비알모션,"+180","+342","19,017","18,500",▲,"450","-517","-2.71%","705,428"
'323280,태성,"+48","+337","70,005","69,400",▼,"-800","-605","-0.86%","333,449"
'082920,비츠로셀,"+113","+336","29,618","30,950",▲,"3,050","1,332","+4.49%","2,274,268"
'290740,액트로,"+141","+327","23,134","22,700",▲,"400","-434","-1.87%","226,233"
'108450,ACE 삼성그룹섹터가중,"+103","+323","31,423","31,475",▼,"-605","52","+0.16%","48,389"
'010170,대한광통신,"+430","+313","7,273","7,390",▲,"360","117","+1.60%","24,561,865"
'086520,에코프로,"+20","+313","157,568","151,100",▼,"-2,900","-6,468","-4.10%","925,314"
'420770,기가비스,"+40","+312","78,387","78,400",▲,"1,100","13","+0.01%","95,100"
