종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'332570,PS일렉트로닉스,"+1,092","+563","5,153","5,110",▼,"-220","-43","-0.83%","547,739"
'018880,한온시스템,"+1,335","+548","4,107","4,110",▼,"-290","3","+0.07%","13,519,785"
'437730,삼현,"+96","+529","55,263","56,000",▼,"-200","737","+1.33%","281,515"
'010140,삼성중공업,"+178","+510","28,659","28,500",▼,"-600","-159","-0.55%","2,252,176"
'090460,비에이치,"+255","+506","19,823","19,880",▲,"380","57","+0.28%","475,772"
'140410,메지온,"+62","+504","81,870","91,500",▲,"11,100","9,630","+11.76%","3,317,551"
'128940,한미약품,"+10","+498","515,952","519,000",▼,"-12,000","3,048","+0.59%","36,384"
'028670,팬오션,"+979","+497","5,074","5,050",▼,"-140","-24","-0.47%","2,645,764"
'102110,TIGER 200,"+56","+492","88,005","86,685",▼,"-2,705","-1,320","-1.49%","6,083,725"
'039490,키움증권,"+11","+489","441,802","449,000",▼,"-20,000","7,198","+1.62%","101,615"
'417200,LS머트리얼즈,"+209","+488","23,338","23,750",▲,"800","412","+1.76%","7,005,134"
'457990,PLUS 태양광&ESS,"+135","+478","35,372","36,420",▲,"900","1,048","+2.96%","910,083"
'372320,큐로셀,"+96","+444","46,369","46,300",▼,"-1,600","-69","-0.14%","65,772"
'0085N0,ACE 미국10년국채액티브(H),"+437","+440","10,058","10,060",▼,"-65","2","+0.01%","181,861"
'196170,알테오젠,"+12","+437","350,222","360,000",▲,"5,000","9,778","+2.79%","291,881"
'292150,TIGER 코리아TOP10,"+139","+434","31,227","31,395",▼,"-700","168","+0.53%","2,410,629"
'103590,일진전기,"+52","+428","82,635","82,100",▼,"-200","-535","-0.64%","285,599"
'048410,현대바이오,"+271","+425","15,704","15,240",▼,"-1,430","-464","-2.95%","2,670,673"
'379800,KODEX 미국S&P500,"+184","+415","22,518","22,530",▼,"-190","12","+0.05%","24,286,327"
'472150,TIGER 배당커버드콜액티브,"+226","+413","18,292","18,260",▼,"-480","-32","-0.17%","5,552,126"
'005850,에스엘,"+61","+394","65,112","64,500",▼,"-3,700","-612","-0.93%","130,628"
'261260,KODEX 미국달러선물인버스2X,"+856","+394","4,603","4,600",▼,"-95","-3","-0.06%","2,082,966"
'028260,삼성물산,"+13","+382","292,034","291,000",▼,"-8,000","-1,034","-0.35%","233,252"
'232080,TIGER 코스닥150,"+187","+379","20,285","20,215",▼,"-435","-70","-0.34%","2,932,787"
'205100,엑셈,"+1,968","+377","1,916","1,939",▲,"37","23","+1.20%","495,473"
'385720,TIME 코스피액티브,"+169","+359","21,257","21,270",▼,"-480","13","+0.06%","336,251"
'012450,한화에어로스페이스,"+3","+358","1,408,067","1,375,000",▼,"-15,000","-33,067","-2.34%","111,115"
'444200,SOL 코리아메가테크액티브,"+81","+357","44,353","44,520",▼,"-840","167","+0.37%","361,472"
'024060,흥구석유,"+171","+357","20,931","20,950",▲,"900","19","+0.09%","6,136,269"
'051910,LG화학,"+12","+354","306,242","303,500",▼,"-16,500","-2,742","-0.89%","207,291"
'0004V0,엔비알모션,"+188","+351","18,640","18,500",▲,"450","-140","-0.75%","705,428"
'010060,OCI홀딩스,"+17","+341","200,241","198,200",▲,"4,600","-2,041","-1.01%","256,199"
'237350,KODEX 코스피100,"+48","+329","68,871","69,000",▼,"-1,970","129","+0.18%","475,688"
'494300,KODEX 미국나스닥100데일리커버드콜OTM,"+330","+328","9,948","9,930",▼,"-105","-18","-0.18%","1,474,148"
'441640,KODEX 미국배당커버드콜액티브,"+258","+328","12,728","12,740",▼,"-105","12","+0.09%","1,460,166"
'189300,인텔리안테크,"+26","+324","122,802","123,400",▼,"-4,000","598","+0.48%","160,936"
'356860,티엘비,"+40","+321","79,225","79,800",▲,"8,700","575","+0.72%","1,405,935"
'010170,대한광통신,"+435","+319","7,342","7,390",▲,"360","48","+0.65%","24,561,865"
'115180,큐리언트,"+68","+310","45,381","45,050",▼,"-1,550","-331","-0.72%","447,737"
'034230,파라다이스,"+163","+308","18,950","18,890",▲,"930","-60","-0.31%","1,220,362"
