종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'271560,오리온,"+258","+3,360","129,990","130,600",▼,"-3,400","610","+0.46%","104,665"
'290650,엘앤씨바이오,"+450","+3,349","74,475","75,400",▼,"-4,400","925","+1.24%","350,604"
'019210,와이지-원,"+2,510","+3,323","13,238","12,810",▲,"880","-428","-3.23%","3,138,379"
'439260,대한조선,"+346","+3,313","95,665","94,900",▼,"-800","-765","-0.79%","182,100"
'233740,KODEX 코스닥150레버리지,"+1,910","+3,309","17,327","16,900",▼,"-760","-427","-2.46%","30,591,045"
'476060,온코닉테라퓨틱스,"+1,247","+3,130","25,100","25,100",▼,"-150","0","0%","815,555"
'192820,코스맥스,"+171","+3,039","178,080","179,200",▲,"3,300","1,120","+0.62%","41,929"
'377300,카카오페이,"+500","+3,010","60,143","60,200",▼,"-800","57","+0.09%","245,673"
'141080,리가켐바이오,"+147","+2,977","202,778","199,900",▼,"-11,100","-2,878","-1.41%","363,749"
'017800,현대엘리베이터,"+312","+2,735","87,802","87,400",▼,"-1,100","-402","-0.45%","180,685"
'006260,LS,"+82","+2,629","319,450","290,500",▲,"8,500","-28,950","-9.06%","197,216"
'229200,KODEX 코스닥150,"+1,321","+2,619","19,831","19,785",▼,"-420","-46","-0.23%","16,482,523"
'080580,오킨스전자,"+1,247","+2,588","20,756","20,850",▲,"1,330","94","+0.45%","1,476,057"
'233160,TIGER 코스닥150 레버리지,"+1,359","+2,580","18,991","18,725",▼,"-770","-266","-1.40%","939,140"
'098460,고영,"+858","+2,544","29,636","29,700",▼,"-450","64","+0.21%","992,027"
'389470,인벤티지랩,"+318","+2,520","79,176","78,800",▼,"-5,100","-376","-0.47%","172,284"
'028300,HLB,"+492","+2,493","50,718","50,400",▼,"-900","-318","-0.62%","522,288"
'161890,한국콜마,"+354","+2,469","69,700","69,800",▼,"-500","100","+0.14%","113,677"
'003550,LG,"+271","+2,457","90,593","90,500",▼,"-2,700","-93","-0.10%","180,729"
'356860,티엘비,"+298","+2,329","78,279","79,800",▲,"8,700","1,521","+1.94%","1,405,935"
'001740,SK네트웍스,"+4,314","+2,322","5,383","5,490",▼,"-110","107","+1.98%","1,286,930"
'214370,케어젠,"+207","+2,277","110,171","110,000",▼,"-3,800","-171","-0.15%","76,158"
'483650,달바글로벌,"+145","+2,251","155,287","154,900",▼,"-1,500","-387","-0.24%","62,816"
'009155,삼성전기우,"+117","+2,246","191,185","190,400",▲,"2,700","-785","-0.41%","54,789"
'232140,와이씨,"+1,076","+2,239","20,814","20,700",▼,"-450","-114","-0.54%","770,980"
'472150,TIGER 배당커버드콜액티브,"+1,215","+2,203","18,126","18,260",▼,"-480","134","+0.73%","5,552,126"
'187660,현대ADM,"+1,485","+2,176","14,653","14,390",▼,"-1,810","-263","-1.79%","5,170,939"
'447770,TIGER 테슬라채권혼합Fn,"+1,407","+2,052","14,589","14,580",▼,"-135","-9","-0.06%","331,596"
'145020,휴젤,"+78","+2,045","262,636","262,000",▼,"-7,500","-636","-0.24%","58,090"
'010780,아이에스동서,"+658","+2,042","31,010","30,900",▼,"-1,500","-110","-0.35%","160,066"
'364980,TIGER 2차전지TOP10,"+2,020","+2,040","10,096","10,065",▼,"-270","-31","-0.30%","1,537,219"
'252710,TIGER 200선물인버스2X,"+77,607","+2,030","262","261",▲,"15","-1","-0.38%","41,852,382"
'000390,삼화페인트,"+1,925","+2,028","10,535","10,550",▼,"-390","15","+0.14%","1,809,018"
'052400,코나아이,"+326","+1,949","59,743","58,500",▼,"-1,600","-1,243","-2.08%","99,290"
'053690,한미글로벌,"+855","+1,933","22,623","23,150",▲,"1,950","527","+2.32%","1,980,947"
'0162Y0,TIME 코스닥액티브,"+1,617","+1,908","11,797","11,885",▼,"-155","88","+0.74%","3,581,594"
'458870,씨어스테크놀로지,"+100","+1,858","185,433","189,000",▲,"3,900","3,567","+1.92%","78,851"
'487230,KODEX 미국AI전력핵심인프라,"+892","+1,838","20,614","20,575",▼,"-75","-39","-0.18%","1,348,713"
'226590,엠디바이스,"+509","+1,834","36,039","36,250",▲,"50","211","+0.58%","1,929,132"
'217590,티엠씨,"+986","+1,825","18,510","19,580",▲,"520","1,070","+5.78%","2,135,612"
