종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,전일대비,전일대비,평균가대비,대비율(%),기간거래량
'019210,와이지-원,"+1,042","+1,371","13,153","12,810",▲,"880","-343","-2.60%","3,138,379"
'051600,한전KPS,"+223","+1,369","61,331","61,400",▲,"1,100","69","+0.11%","317,005"
'456040,OCI,"+137","+1,308","95,260","95,600",▼,"-200","340","+0.35%","58,354"
'178320,서진시스템,"+283","+1,288","45,453","45,400",▲,"200","-53","-0.11%","1,496,765"
'030190,NICE평가정보,"+793","+1,283","16,182","16,180",▼,"-670","-2","-0.01%","280,839"
'000150,두산,"+11","+1,266","1,147,445","1,149,000",▼,"-40,000","1,555","+0.13%","53,414"
'003000,부광약품,"+2,051","+1,239","6,037","6,100",▼,"-180","63","+1.04%","1,639,143"
'141080,리가켐바이오,"+58","+1,180","204,490","199,900",▼,"-11,100","-4,590","-2.24%","363,749"
'171090,선익시스템,"+112","+1,167","104,334","103,500",▼,"-2,900","-834","-0.79%","252,473"
'042700,한미반도체,"+41","+1,154","279,949","307,000",▼,"-4,000","27,051","+9.66%","788,358"
'086280,현대글로비스,"+48","+1,143","236,325","230,500",▼,"-6,000","-5,825","-2.46%","164,331"
'425420,티에프이,"+183","+1,092","59,772","60,700",▲,"3,100","928","+1.55%","259,637"
'034830,한국토지신탁,"+6,310","+1,061","1,682","1,697",▲,"139","15","+0.89%","8,339,054"
'486990,노타,"+237","+1,059","44,769","44,850",▼,"-200","81","+0.18%","421,979"
'001120,LX인터내셔널,"+229","+1,019","44,448","44,500",▲,"1,450","52","+0.11%","252,443"
'017800,현대엘리베이터,"+115","+1,013","88,133","87,400",▼,"-1,100","-733","-0.83%","180,685"
'102780,KODEX 삼성그룹,"+528","+1,000","18,952","19,000",▼,"-400","48","+0.25%","838,706"
'064290,인텍플러스,"+556","+989","17,800","17,950",▲,"2,110","150","+0.84%","770,982"
'353200,대덕전자,"+121","+947","78,137","77,300",▲,"2,500","-837","-1.07%","2,408,836"
'101490,에스앤에스텍,"+110","+947","86,111","85,900",▼,"-2,900","-211","-0.24%","205,316"
'009970,영원무역홀딩스,"+42","+939","224,914","221,500",▼,"-16,000","-3,414","-1.51%","18,708"
'247540,에코프로비엠,"+49","+938","191,359","189,700",▼,"-6,800","-1,659","-0.86%","439,588"
'267260,HD현대일렉트릭,"+10","+921","962,872","958,000",▼,"-16,000","-4,872","-0.50%","112,178"
'030200,KT,"+154","+916","59,441","59,300",▼,"-1,100","-141","-0.23%","229,892"
'009450,경동나비엔,"+136","+909","66,969","66,800",▲,"2,900","-169","-0.25%","99,195"
'336260,두산퓨얼셀,"+196","+894","45,649","45,900",▼,"-300","251","+0.54%","845,340"
'272210,한화시스템,"+64","+861","135,088","141,000",▲,"1,200","5,912","+4.37%","1,776,465"
'069500,KODEX 200,"+96","+836","86,743","86,750",▼,"-2,620","7","0%","17,892,883"
'001720,신영증권,"+40","+827","207,679","207,000",▼,"-1,500","-679","-0.32%","29,041"
'011760,현대코퍼레이션,"+304","+786","25,891","25,950",▲,"200","59","+0.22%","80,430"
'030000,제일기획,"+368","+773","20,979","20,950",▲,"50","-29","-0.13%","330,990"
'000210,DL,"+142","+737","51,930","51,300",▲,"1,450","-630","-1.21%","168,952"
'066570,LG전자,"+61","+709","115,405","116,200",▼,"-3,800","795","+0.68%","560,434"
'089980,상아프론테크,"+273","+694","25,395","25,700",▲,"650","305","+1.20%","504,787"
'297090,씨에스베어링,"+875","+693","7,924","7,880",▼,"-310","-44","-0.55%","2,261,252"
'007070,GS리테일,"+347","+691","19,899","19,950",▲,"100","51","+0.25%","101,883"
'039200,오스코텍,"+117","+678","57,789","57,500",▼,"-900","-289","-0.50%","240,624"
'058470,리노공업,"+56","+664","117,616","117,100",▲,"500","-516","-0.43%","782,184"
'356860,티엘비,"+85","+662","78,118","79,800",▲,"8,700","1,682","+2.15%","1,405,935"
